target_grid,prior_density,posterior_density
0.4972709959178161,182.54472687241756,182.69346523611412
0.4972847098872534,182.54758732895957,182.69558250529698
0.4972984238566906,182.55043410626564,182.69768606073768
0.4973121378261279,182.55326720370223,182.69977590196262
0.4973258517955651,182.55608662062582,182.70185202850018
0.4973395657650024,182.55889235640154,182.70391443988234
0.4973532797344396,182.56168441039722,182.70596313564414
0.4973669937038769,182.56446278198578,182.70799811532413
0.4973807076733141,182.56722747053735,182.71001937846276
0.4973944216427514,182.56997847543255,182.71202692460474
0.4974081356121886,182.57271579604995,182.71402075329698
0.4974218495816259,182.5754394317747,182.7160008640906
0.49743556355106316,182.57814938199124,182.71796725653863
0.4974492775205004,182.58084564608956,182.7199199301979
0.49746299148993767,182.5835282234615,182.72185888462852
0.4974767054593749,182.586197113503,182.72378411939246
0.49749041942881217,182.5888523156123,182.72569563405622
0.4975041333982494,182.59149382919435,182.72759342818875
0.49751784736768667,182.59412165364816,182.72947750136225
0.4975315613371239,182.59673578838445,182.73134785315136
0.4975452753065612,182.59933623281583,182.7332044831349
0.4975589892759984,182.60192298635437,182.7350473908939
0.4975727032454357,182.6044960484172,182.73687657601326
0.49758641721487296,182.60705541842674,182.7386920380796
0.4976001311843102,182.6096010958017,182.74049377668481
0.49761384515374746,182.6121330799724,182.74228179142162
0.4976275591231847,182.6146513703682,182.7440560818872
0.49764127309262196,182.61715596642,182.74581664768195
0.4976549870620592,182.61964686756306,182.7475634884081
0.49766870103149646,182.6221240732367,182.74929660367204
0.4976824150009337,182.6245875828814,182.75101599308303
0.49769612897037097,182.6270373959452,182.75272165625358
0.4977098429398082,182.62947351187245,182.75441359279836
0.49772355690924547,182.63189593011836,182.75609180233627
0.4977372708786827,182.6343046501318,182.757756284489
0.49775098484811997,182.63669967137423,182.75940703888074
0.49776469881755725,182.6390809933042,182.7610440651405
0.4977784127869945,182.64144861538372,182.7626673628971
0.49779212675643175,182.6438025370822,182.76427693178636
0.497805840725869,182.6461427578671,182.76587277144398
0.49781955469530625,182.64846927720973,182.76745488151127
0.4978332686647435,182.65078209458832,182.76902326163022
0.49784698263418076,182.65308120947907,182.77057791144804
0.497860696603618,182.65536662136606,182.77211883061366
0.49787441057305526,182.65763832973576,182.7736460187794
0.4978881245424925,182.65989633407298,182.77515947560212
0.49790183851192976,182.66214063386914,182.77665920073878
0.49791555248136704,182.6643712286206,182.7781451938525
0.49792926645080426,182.66658811782045,182.77961745460732
0.49794298042024154,182.66879130097354,182.78107598267178
0.49795669438967877,182.67098077757908,182.78252077771674
0.49797040835911605,182.67315654714616,182.7839518394161
0.49798412232855327,182.67531860918373,182.78536916744773
0.49799783629799055,182.67746696320413,182.78677276149128
0.49801155026742777,182.6796016087254,182.78816262123053
0.49802526423686505,182.68172254526635,182.7895387463522
0.4980389782063023,182.68382977234475,182.7909011365456
