curve,n_columns,effective_sample_size
Prior,0,7874.0
"All species, day 88",9,667.6031721058051
"All species, day 56",9,2089.1924421331405
"PGF+E2+FSH+INH, day 88",4,718.8282536585267
"PGF+E2+FSH, day 88",3,753.2663002538753
"PGF+E2, day 88",2,1242.352460194112
"PGF, day 88",1,1957.451562789383
