target_grid,prior_density,posterior_density
0.49725058620595963,181.63824817589622,181.691940684044
0.497264368892255,181.64109420260576,181.69451856853453
0.4972781515785504,181.64392648191458,181.6970826920914
0.49729193426484575,181.64674501322014,181.69963305413043
0.49730571695114106,181.64954979585818,181.7021696540712
0.49731949963743644,181.65234082918892,181.70469249133708
0.4973332823237318,181.65511811258656,181.70720156535336
0.4973470650100272,181.65788164543818,181.70969687555066
0.49736084769632255,181.66063142706236,181.71217842135678
0.4973746303826179,181.66336745686945,181.71464620221047
0.4973884130689133,181.66608973425755,181.7171002175494
0.49740219575520866,181.66879825854198,181.71954046681324
0.497415978441504,181.67149302916732,181.72196694944975
0.49742976112779935,181.67417404549877,181.7243796649023
0.4974435438140947,181.67684130691973,181.72677861262562
0.4974573265003901,181.67949481282034,181.7291637920715
0.49747110918668547,181.68213456262444,181.73153520269673
0.49748489187298084,181.6847605557055,181.7338928439639
0.4974986745592762,181.6873727914585,181.73623671533528
0.4975124572455716,181.6899712693157,181.73856681627518
0.4975262399318669,181.69255598868315,181.74088314625524
0.49754002261816227,181.6951269489546,181.74318570474884
0.49755380530445764,181.69768414953035,181.74547449122863
0.497567587990753,181.700227589882,181.74774950517627
0.4975813706770484,181.7027572693897,181.75001074607218
0.49759515336334376,181.70527318748256,181.75225821340445
0.49760893604963913,181.7077753436138,181.75449190665896
0.4976227187359345,181.71026373717652,181.75671182532722
0.4976365014222298,181.7127383676298,181.75891796890338
0.4976502841085252,181.7151992344005,181.76111033688971
0.49766406679482056,181.71764633691262,181.76328892878087
0.49767784948111593,181.72007967464796,181.7654537440833
0.4976916321674113,181.72249924701617,181.7676047823057
0.4977054148537067,181.72490505349018,181.76974204295695
0.49771919754000205,181.7272970935039,181.77186552554969
0.4977329802262974,181.7296753665226,181.7739752296041
0.49774676291259273,181.73203987202015,181.77607115463485
0.4977605455988881,181.73439060944668,181.77815330016583
0.4977743282851835,181.73672757825202,181.78022166572612
0.49778811097147885,181.73905077791477,181.78227625084324
0.4978018936577742,181.741360207893,181.78431705504664
0.4978156763440696,181.74365586768997,181.7863440778759
0.49782945903036496,181.74593775677255,181.7883573188691
0.49784324171666033,181.74820587461195,181.7903567775647
0.49785702440295565,181.7504602207093,181.7923424535084
0.497870807089251,181.7527007945243,181.7943143462495
0.4978845897755464,181.7549275955508,181.79627245533803
0.49789837246184177,181.75714062331164,181.7982167803303
0.49791215514813714,181.75933987729266,181.80014732078237
0.4979259378344325,181.76152535696554,181.80206407625258
0.4979397205207279,181.7636970618627,181.8039670463051
0.49795350320702325,181.76585499147532,181.80585623050834
0.49796728589331857,181.76799914530534,181.80773162843067
0.49798106857961394,181.77012952290244,181.80959323964643
0.4979948512659093,181.77224612374707,181.81144106373006
0.4980086339522047,181.774348947349,181.81327510026443
0.49802241663850005,181.77643799325605,181.8150953488269
0.4980361993247954,181.77851326096513,181.81690180900674
0.4980499820110908,181.78057475002961,181.81869448038987
0.49806376469738617,181.78262245998252,181.82047336257213
0.4980775473836815,181.78465639032694,181.8222384551419
0.49809133006997686,181.78667654063312,181.82398975770377
0.49810511275627223,181.78868291043528,181.82572726985512
0.4981188954425676,181.7906754992754,181.82745099120467
0.49813267812886297,181.79265430666078,181.8291609213537
0.49814646081515834,181.79461933218863,181.83085705991536
0.4981602435014537,181.79657057539677,181.83253940650485
0.4981740261877491,181.79850803583417,181.83420796073736
0.4981878088740444,181.80043171306977,181.8358627222346
0.4982015915603398,181.80234160667166,181.83750369061778
0.49821537424663515,181.8042377161679,181.83913086551638
0.4982291569329305,181.8061200411782,181.8407442465541
0.4982429396192259,181.80798858124416,181.84234383337107
0.49825672230552126,181.8098433359469,181.84392962559858
0.49827050499181663,181.8116843048586,181.84550162287354
0.498284287678112,181.81351148754948,181.84705982484098
0.4982980703644073,181.81532488362836,181.84860423114625
0.4983118530507027,181.81712449268915,181.85013484143536
0.49832563573699806,181.8189103142901,181.85165165536546
