target_value,density,curve
0.4972005926438519,2.5965677583228937,Prior
0.4972118136437639,3.146653537523784,Prior
0.49722303464367584,3.79225360702588,Prior
0.4972342556435878,4.5452379147703725,Prior
0.4972454766434997,5.417999809834566,Prior
0.4972566976434117,6.423289842264374,Prior
0.49726791864332365,7.574013260718675,Prior
0.4972791396432356,8.882992337765518,Prior
0.4972903606431476,10.362696249281104,Prior
0.49730158164305954,12.024942944586192,Prior
0.49731280264297145,13.880579192432908,Prior
0.4973240236428834,15.93914668686772,Prior
0.4973352446427954,18.208543648658512,Prior
0.49734646564270735,20.694692661948658,Prior
0.4973576866426193,23.401226441912627,Prior
0.4973689076425313,26.329203748703176,Prior
0.4973801286424432,29.47686767133094,Prior
0.49739134964235515,32.83945795158129,Prior
0.4974025706422671,36.409087879295974,Prior
0.4974137916421791,40.17469457721594,Prior
0.49742501264209105,44.12206924866188,Prior
0.497436233642003,48.233971265293775,Prior
0.4974474546419149,52.4903269348531,Prior
0.4974586756418269,56.868510548394646,Prior
0.49746989664173885,61.343702019576604,Prior
0.4974811176416508,65.88931226437417,Prior
0.4974923386415628,70.47746459305289,Prior
0.49750355964147475,75.0795179566666,Prior
0.49751478064138666,79.6666160412341,Prior
0.4975260016412986,84.21024503967512,Prior
0.4975372226412106,88.68278252004963,Prior
0.49754844364112255,93.05802017450907,Prior
0.4975596646410345,97.31164435249934,Prior
0.4975708856409465,101.42166009324754,Prior
0.4975821066408584,105.36874677078599,Prior
0.49759332764077036,109.13653631641603,Prior
0.4976045486406823,112.71180812951067,Prior
0.4976157696405943,116.08459806093764,Prior
0.49762699064050625,119.24822208149058,Prior
0.4976382116404182,122.19921827386311,Prior
0.4976494326403301,124.93721347004562,Prior
0.4976606536402421,127.46472308619377,Prior
0.49767187464015405,129.78689440668404,Prior
0.497683095640066,131.91120469770615,Prior
0.497694316639978,133.84712608359828,Prior
0.49770553763988995,135.6057691269653,Prior
0.49771675863980186,137.19951657502463,Prior
0.4977279796397138,138.6416578515369,Prior
0.4977392006396258,139.94603368304877,Prior
0.49775042163953775,141.12669885368035,Prior
0.4977616426394497,142.19760958729438,Prior
0.4977728636393617,143.17234055388613,Prior
0.4977840846392736,144.06383507077953,Prior
0.49779530563918556,144.88419078023648,Prior
0.4978065266390975,145.6444819777863,Prior
0.4978177476390095,146.35461886092364,Prior
0.49782896863892145,147.02324326799797,Prior
0.4978401896388334,147.65765996713094,Prior
0.49785141063874533,148.2638022043894,Prior
0.4978626316386573,148.84622999153947,Prior
0.49787385263856926,149.40815946065737,Prior
0.4978850736384812,149.9515214929271,Prior
0.4978962946383932,150.4770476995375,Prior
0.49790751563830515,150.98438166191005,Prior
0.49791873663821706,151.47221310219626,Prior
0.49792995763812903,151.93843234281405,Prior
0.497941178638041,152.38030202718474,Prior
0.49795239963795296,152.79464262668895,Prior
0.4979636206378649,153.17802777748716,Prior
0.4979748416377769,153.52698500872182,Prior
0.4979860626376888,153.838196982472,Prior
0.49799728363760076,154.1086980087635,Prior
0.49800850463751273,154.33606036901514,Prior
0.4980197256374247,154.51856491747222,Prior
0.49803094663733666,154.65535056305987,Prior
0.4980421676372486,154.74653758475822,Prior
0.4980533886371606,154.79332030995258,Prior
0.4980646096370725,154.79802548158037,Prior
0.49807583063698446,154.7641336366911,Prior
0.4980870516368964,154.69626198389741,Prior
0.4980982726368084,154.60010855425676,Prior
0.49810949363672036,154.48235875824452,Prior
0.4981207146366323,154.35055684888647,Prior
0.49813193563654423,154.21294610809593,Prior
0.4981431566364562,154.0782827781902,Prior
0.49815437763636816,153.9556297982864,Prior
0.4981655986362801,153.85413722759142,Prior
0.4981768196361921,153.78281680670096,Prior
0.49818804063610406,153.75031839785098,Prior
0.49819926163601597,153.76471604191607,Prior
0.49821048263592793,153.83331107324778,Prior
0.4982217036358399,153.96245915407476,Prior
0.49823292463575186,154.15742724990963,Prior
0.4982441456356638,154.42228549796135,Prior
0.4982553666355758,154.7598376595438,Prior
0.4982665876354877,155.17159244077286,Prior
0.49827780863539967,155.65777646129104,Prior
0.49828902963531163,156.21738810086876,Prior
0.4983002506352236,156.84828991216642,Prior
0.49831147163513556,157.5473358094264,Prior
0.4983226926350475,158.31052788181952,Prior
0.49833391363495944,159.13319649004328,Prior
0.4983451346348714,160.0101963362877,Prior
0.49835635563478337,160.9361104968277,Prior
0.49836757663469533,161.90545401330573,Prior
0.4983787976346073,162.9128685840439,Prior
0.49839001863451926,163.9533001992099,Prior
0.49840123963443117,165.02215222885476,Prior
0.49841246063434314,166.11540748901126,Prior
0.4984236816342551,167.22971414799272,Prior
0.49843490263416707,168.36243194581456,Prior
0.49844612363407903,169.51163701644643,Prior
0.498457344633991,170.6760855444339,Prior
0.4984685656339029,171.85513845904794,Prior
0.49847978663381487,173.04865126882532,Prior
0.49849100763372683,174.25683486316032,Prior
0.4985022286336388,175.48009455816214,Prior
0.49851344963355076,176.71885575379076,Prior
0.49852467063346273,177.97338523141042,Prior
0.49853589163337464,179.24361731170592,Prior
0.4985471126332866,180.52899379577732,Prior
0.49855833363319857,181.8283258419872,Prior
0.49856955463311053,183.13968473162197,Prior
0.4985807756330225,184.46032691849925,Prior
0.49859199663293446,185.78665693579623,Prior
0.4986032176328464,187.11422975819414,Prior
0.49861443863275834,188.43779220775488,Prior
0.4986256596326703,189.75136106785027,Prior
0.49863688063258227,191.04833384277842,Prior
0.49864810163249423,192.32162666655768,Prior
0.4986593226324062,193.5638327977808,Prior
0.4986705436323181,194.7673944837573,Prior
0.4986817646322301,195.92478075546848,Prior
0.49869298563214204,197.02866391180717,Prior
0.498704206632054,198.07208802872282,Prior
0.49871542763196597,199.048623722152,Prior
0.49872664863187793,199.95250452324828,Prior
0.49873786963178984,200.77874149847102,Prior
0.4987490906317018,201.52321407046992,Prior
0.4987603116316138,202.1827362773426,Prior
0.49877153263152574,202.75509886794308,Prior
0.4987827536314377,203.23908860341874,Prior
0.49879397463134967,203.63448687688094,Prior
0.4988051956312616,203.94205025125797,Prior
0.49881641663117354,204.1634757488853,Prior
0.4988276376310855,204.30135372692268,Prior
0.4988388586309975,204.35911097795488,Prior
0.49885007963090944,204.34094635492167,Prior
0.4988613006308214,204.25176079476992,Prior
0.49887252163073337,204.09708316358424,Prior
0.4988837426306453,203.88299292666778,Prior
0.49889496363055724,203.6160403060601,Prior
0.4989061846304692,203.3031643615798,Prior
0.49891740563038117,202.95160933863815,Prior
0.49892862663029314,202.56883966916587,Prior
0.4989398476302051,202.1624541778039,Prior
0.498951068630117,201.74010030452806,Prior
0.498962289630029,201.3093894676999,Prior
