train_fraction,n_train,median_r2,median_nrmse_range,max_nrmse_range
0.2,945,0.6476856995929882,0.12895840442829926,0.19998948864761748
0.4,1890,0.6796136147089364,0.11779214770909874,0.19353047705837417
0.6,2834,0.6904935682077218,0.11299742207972141,0.1904221368004131
0.8,3779,0.6981941545237642,0.11112841837935197,0.18609371653054962
1.0,4724,0.7045471288022896,0.11000929034854895,0.18593311199014664
