candidate,columns,n_columns,n_samples,mi_nats
all_species_day_77,FSH_day_77|PGF_day_77|P4_day_77|E2_day_77|INH_day_77|IGF1_day_77|Insulin_day_77|Glucose_day_77|Glucagon_day_77,9,389,0.6527527184279034
all_species_day_81,FSH_day_81|PGF_day_81|P4_day_81|E2_day_81|INH_day_81|IGF1_day_81|Insulin_day_81|Glucose_day_81|Glucagon_day_81,9,389,0.6455598518577572
all_species_day_76,FSH_day_76|PGF_day_76|P4_day_76|E2_day_76|INH_day_76|IGF1_day_76|Insulin_day_76|Glucose_day_76|Glucagon_day_76,9,389,0.6390208504706445
all_species_day_55,FSH_day_55|PGF_day_55|P4_day_55|E2_day_55|INH_day_55|IGF1_day_55|Insulin_day_55|Glucose_day_55|Glucagon_day_55,9,389,0.6375622568943768
all_species_day_57,FSH_day_57|PGF_day_57|P4_day_57|E2_day_57|INH_day_57|IGF1_day_57|Insulin_day_57|Glucose_day_57|Glucagon_day_57,9,389,0.6293265743872611
all_species_day_78,FSH_day_78|PGF_day_78|P4_day_78|E2_day_78|INH_day_78|IGF1_day_78|Insulin_day_78|Glucose_day_78|Glucagon_day_78,9,389,0.6287851405766531
all_species_day_56,FSH_day_56|PGF_day_56|P4_day_56|E2_day_56|INH_day_56|IGF1_day_56|Insulin_day_56|Glucose_day_56|Glucagon_day_56,9,389,0.6013528894428015
Insulin_day_71,Insulin_day_71,1,389,0.35467284125124365
Insulin_day_60,Insulin_day_60,1,389,0.35467284125124365
Insulin_day_89,Insulin_day_89,1,389,0.35467284125124365
Insulin_day_72,Insulin_day_72,1,389,0.35467284125124365
Insulin_day_63,Insulin_day_63,1,389,0.35467284125124365
Insulin_day_78,Insulin_day_78,1,389,0.35467284125124365
Insulin_day_73,Insulin_day_73,1,389,0.35467284125124365
Insulin_day_74,Insulin_day_74,1,389,0.35467284125124365
Insulin_day_85,Insulin_day_85,1,389,0.35467284125124365
Insulin_day_77,Insulin_day_77,1,389,0.35467284125124365
Insulin_day_86,Insulin_day_86,1,389,0.35467284125124365
Insulin_day_61,Insulin_day_61,1,389,0.35467284125124365
Insulin_day_56,Insulin_day_56,1,389,0.35467284125124365
Insulin_day_76,Insulin_day_76,1,389,0.35467284125124365
Insulin_day_57,Insulin_day_57,1,389,0.35467284125124365
Insulin_day_75,Insulin_day_75,1,389,0.35467284125124365
Insulin_day_62,Insulin_day_62,1,389,0.35467284125124365
Insulin_day_79,Insulin_day_79,1,389,0.35467284125124365
Insulin_day_88,Insulin_day_88,1,389,0.35467284125124365
Insulin_day_87,Insulin_day_87,1,389,0.35467284125124365
Insulin_day_68,Insulin_day_68,1,389,0.35467284125124365
Insulin_day_84,Insulin_day_84,1,389,0.35467284125124365
Insulin_day_83,Insulin_day_83,1,389,0.35467284125124365
Insulin_day_58,Insulin_day_58,1,389,0.35467284125124365
Insulin_day_67,Insulin_day_67,1,389,0.35467284125124365
Insulin_day_90,Insulin_day_90,1,389,0.35467284125124365
Insulin_day_55,Insulin_day_55,1,389,0.35467284125124365
Insulin_day_82,Insulin_day_82,1,389,0.35467284125124365
Insulin_day_66,Insulin_day_66,1,389,0.35467284125124365
Insulin_day_65,Insulin_day_65,1,389,0.35467284125124365
Insulin_day_81,Insulin_day_81,1,389,0.35467284125124365
Insulin_day_69,Insulin_day_69,1,389,0.35467284125124365
Insulin_day_59,Insulin_day_59,1,389,0.35467284125124365
Insulin_day_70,Insulin_day_70,1,389,0.35467284125124365
Insulin_day_80,Insulin_day_80,1,389,0.35467284125124365
Insulin_day_64,Insulin_day_64,1,389,0.35467284125124365
IGF1_day_86,IGF1_day_86,1,389,0.27358425116827334
IGF1_day_64,IGF1_day_64,1,389,0.2728756018557501
P4_day_58,P4_day_58,1,389,0.2652998151402022
P4_day_59,P4_day_59,1,389,0.25773734995387354
P4_day_57,P4_day_57,1,389,0.25772519721638343
IGF1_day_63,IGF1_day_63,1,389,0.25717230627883314
P4_day_56,P4_day_56,1,389,0.25602256412371727
P4_day_71,P4_day_71,1,389,0.2555736193890157
P4_day_74,P4_day_74,1,389,0.2521158049611598
P4_day_69,P4_day_69,1,389,0.25172033726200205
P4_day_75,P4_day_75,1,389,0.2513329671276532
P4_day_78,P4_day_78,1,389,0.25049015382514206
P4_day_77,P4_day_77,1,389,0.25020813949902987
P4_day_76,P4_day_76,1,389,0.250029899956675
P4_day_55,P4_day_55,1,389,0.2498732729683013
P4_day_72,P4_day_72,1,389,0.24965137217696576
P4_day_89,P4_day_89,1,389,0.24958973461172818
P4_day_70,P4_day_70,1,389,0.24895468590699732
P4_day_73,P4_day_73,1,389,0.24828897232746616
P4_day_79,P4_day_79,1,389,0.24746919364497177
IGF1_day_85,IGF1_day_85,1,389,0.24557586346332982
P4_day_68,P4_day_68,1,389,0.24226524269004202
P4_day_80,P4_day_80,1,389,0.24203155611989313
IGF1_day_69,IGF1_day_69,1,389,0.24149011154600242
IGF1_day_72,IGF1_day_72,1,389,0.23953691273523603
IGF1_day_65,IGF1_day_65,1,389,0.2393576393452257
P4_day_81,P4_day_81,1,389,0.23714568437446104
IGF1_day_68,IGF1_day_68,1,389,0.23261164581178218
P4_day_67,P4_day_67,1,389,0.2318533016855433
FSH_day_90,FSH_day_90,1,389,0.22665066920501076
FSH_day_63,FSH_day_63,1,389,0.22597563439857904
FSH_day_68,FSH_day_68,1,389,0.22527227638698477
P4_day_90,P4_day_90,1,389,0.22271526574833622
PGF_day_75,PGF_day_75,1,389,0.21896904383632698
E2_day_82,E2_day_82,1,389,0.21794374451186105
FSH_day_57,FSH_day_57,1,389,0.21735108108102175
IGF1_day_90,IGF1_day_90,1,389,0.21398047686517518
FSH_day_73,FSH_day_73,1,389,0.21327863977871164
IGF1_day_67,IGF1_day_67,1,389,0.21200862252429964
IGF1_day_62,IGF1_day_62,1,389,0.21128972846093763
P4_day_60,P4_day_60,1,389,0.20985780740537496
IGF1_day_88,IGF1_day_88,1,389,0.20963018123108945
E2_day_81,E2_day_81,1,389,0.20960612306456294
E2_day_83,E2_day_83,1,389,0.20902061173223263
FSH_day_79,FSH_day_79,1,389,0.20822839005362948
IGF1_day_84,IGF1_day_84,1,389,0.20682660647008344
INH_day_70,INH_day_70,1,389,0.20610409553454012
E2_day_78,E2_day_78,1,389,0.20504874771653459
FSH_day_78,FSH_day_78,1,389,0.20495669021895146
P4_day_85,P4_day_85,1,389,0.20492482293393
IGF1_day_89,IGF1_day_89,1,389,0.20463206015111002
E2_day_90,E2_day_90,1,389,0.20439697575119897
INH_day_69,INH_day_69,1,389,0.20418704643410823
P4_day_63,P4_day_63,1,389,0.20325069334985457
E2_day_79,E2_day_79,1,389,0.2029893746197402
FSH_day_87,FSH_day_87,1,389,0.20298097562463635
E2_day_70,E2_day_70,1,389,0.20295765723354986
E2_day_68,E2_day_68,1,389,0.20241963342812408
INH_day_68,INH_day_68,1,389,0.20237544146287778
PGF_day_68,PGF_day_68,1,389,0.20219706804990878
E2_day_61,E2_day_61,1,389,0.20144693925826562
PGF_day_82,PGF_day_82,1,389,0.20131474195773258
FSH_day_80,FSH_day_80,1,389,0.20104113128254397
PGF_day_81,PGF_day_81,1,389,0.200000968431711
E2_day_69,E2_day_69,1,389,0.19980806255609274
FSH_day_88,FSH_day_88,1,389,0.19956108362223013
IGF1_day_71,IGF1_day_71,1,389,0.19954000221621015
E2_day_67,E2_day_67,1,389,0.19951227082590517
E2_day_55,E2_day_55,1,389,0.1994637766568932
E2_day_89,E2_day_89,1,389,0.1994430123729405
FSH_day_69,FSH_day_69,1,389,0.19941520574555938
IGF1_day_61,IGF1_day_61,1,389,0.19907227817703532
INH_day_76,INH_day_76,1,389,0.1990163778308247
E2_day_76,E2_day_76,1,389,0.19812215393249133
P4_day_88,P4_day_88,1,389,0.19788354900625293
INH_day_86,INH_day_86,1,389,0.19776541896249622
