target_value,density,curve
0.4972212516104937,2.4333628200679276,Prior
0.4972324166654438,2.942391351553187,Prior
0.4972435817203939,3.5391588822877607,Prior
0.49725474677534404,4.234680295226514,Prior
0.49726591183029417,5.040547177075358,Prior
0.49727707688524425,5.96880569862445,Prior
0.4972882419401944,7.031804655753494,Prior
0.4972994069951445,8.242013766846249,Prior
0.49731057205009466,9.61181334615926,Prior
0.49732173710504474,11.153257565763928,Prior
0.49733290215999487,12.87781463540664,Prior
0.497344067214945,14.79608831724934,Prior
0.4973552322698951,16.917526196833393,Prior
0.4973663973248452,19.25012099769319,Prior
0.49737756237979536,21.800111905976145,Prior
0.49738872743474544,24.5716933227042,Prior
0.49739989248969557,27.566738655516268,Prior
0.4974110575446457,30.784546686280013,Prior
0.49742222259959584,34.221617709783146,Prior
0.4974333876545459,37.871466051441075,Prior
0.49744455270949606,41.724474777703556,Prior
0.4974557177644462,45.7677974607577,Prior
0.49746688281939627,49.98531081161688,Prior
0.4974780478743464,54.357620915076446,Prior
0.49748921292929654,58.86212475044033,Prior
0.4975003779842466,63.47312771797281,Prior
0.49751154303919676,68.1620170512757,Prior
0.4975227080941469,72.89749030341864,Prior
0.497533873149097,77.64583754972338,Prior
0.4975450382040471,82.37127552795569,Prior
0.49755620325899724,87.03633159556914,Prior
0.4975673683139474,91.60227506337687,Prior
0.49757853336889746,96.02959309282689,Prior
0.4975896984238476,100.27850785028188,Prior
0.49760086347879773,104.30953092817592,Prior
0.4976120285337478,108.08405012346353,Prior
0.49762319358869794,111.56494248169578,Prior
0.4976343586436481,114.71720608034926,Prior
0.49764552369859816,117.50860138059626,Prior
0.4976566887535483,119.91029120039134,Prior
0.49766785380849843,121.8974665672416,Prior
0.49767901886344856,123.44994403386096,Prior
0.49769018391839864,124.55271863692403,Prior
0.4977013489733488,125.19645570734512,Prior
0.4977125140282989,125.37790434575764,Prior
0.497723679083249,125.10021568336656,Prior
0.49773484413819913,124.37315014200362,Prior
0.49774600919314926,123.21315982926833,Prior
0.49775717424809934,121.64333494210815,Prior
0.4977683393030495,119.69320653807182,Prior
0.4977795043579996,117.39840214814103,Prior
0.4977906694129497,114.80015528220329,Prior
0.49780183446789983,111.94467471799246,Prior
0.49781299952284996,108.88238434331542,Prior
0.4978241645778001,105.66704900940825,Prior
0.4978353296327502,102.3548061301302,Prior
0.4978464946877003,99.00312642627827,Prior
0.49785765974265045,95.66973010305647,Prior
0.49786882479760053,92.41148673696014,Prior
0.49787998985255066,89.28332816292001,Prior
0.4978911549075008,86.33720366489437,Prior
0.4979023199624509,83.62110580197584,Prior
0.497913485017401,81.17819330735183,Prior
0.49792465007235115,79.04603476842556,Prior
0.4979358151273013,77.25599334714964,Prior
0.49794698018225136,75.83276875957115,Prior
0.4979581452372015,74.79410823569783,Prior
0.49796931029215163,74.15069336139534,Prior
0.4979804753471017,73.90620469309702,Prior
0.49799164040205185,74.05756096017099,Prior
0.498002805457002,74.59532464817963,Prior
0.49801397051195206,75.50426090628915,Prior
0.4980251355669022,76.76403215950195,Prior
0.49803630062185233,78.35000664836984,Prior
0.4980474656768024,80.23415548645644,Prior
0.49805863073175255,82.38600984203264,Prior
0.4980697957867027,84.77364763951282,Prior
0.4980809608416528,87.36467785822963,Prior
0.4980921258966029,90.12719018842576,Prior
0.49810329095155303,93.0306385758535,Prior
