biomarker,parameter,prcc,abs_prcc,samples
P4,e2_clearance,0.3544975613250647,0.3544975613250647,12721
IGF1,hp_p4_follicle_scale,-0.3487456271351638,0.3487456271351638,12721
IGF1,insulin_glucose_threshold,-0.34757939449698033,0.34757939449698033,12721
PGF,hp_pg_iof_threshold,0.34650582395964713,0.34650582395964713,12721
INH,e2_clearance,0.34487071844133543,0.34487071844133543,12721
E2,blood_usage_glucose_threshold,-0.34441950280333106,0.34441950280333106,12721
INH,p4_clearance,0.34289660944407885,0.34289660944407885,12721
FSH,hp_oxt_pg_threshold,0.3418309100702969,0.3418309100702969,12721
Insulin,glucagon_clearance,-0.3403148524014043,0.3403148524014043,12721
FSH,follicle_to_inhibin_scale,-0.33984830105578717,0.33984830105578717,12721
E2,hp_p4_follicle_threshold,0.3352734589536082,0.3352734589536082,12721
IGF1,cl_formation_scale,-0.3344147430138142,0.3344147430138142,12721
Glucose,insulin_secretion_max,-0.3261956567691046,0.3261956567691046,12721
