parameter,output,metric,nominal_value,base_metric,perturbed_metric,relative_sensitivity
hp_p4_follicle_scale,P4,AUC,1.1,55.24403546337959,55.110230176057016,-0.24220766314450526
igf_lh_sensitivity_threshold,Follicle,AUC,0.5,19.277313178356533,19.323105738318816,0.23754638179399679
insulin_lh_threshold,CL,AUC,16.0,44.47711481761466,44.371480430502956,-0.2375027866462938
insulin_secretion_max,Follicle,AUC,84211.0,19.277313178356533,19.231629669438995,-0.23698068550771195
gnrh_syn,E2,AUC,2.75,16.842271088140375,16.802700845490826,-0.23494600248664432
igf_lh_sensitivity_scale,Follicle,AUC,1.0,19.277313178356533,19.32129348438249,0.22814541434817998
hp_p4_follicle_threshold,E2,AUC,0.126,16.842271088140375,16.87999100859988,0.22395982265162512
igf_clearance,Follicle,AUC,1.7,19.277313178356533,19.320373354158463,0.223372289507002
hm_p4_lh_threshold,E2,AUC,0.0269,16.842271088140375,16.804983912440385,-0.22139042593992386
blood_usage_glucose_threshold,IGF1,AUC,0.5,29.40509795337114,29.470118218341067,0.22111902185475693
hp_p4_follicle_threshold,CL,AUC,0.126,44.47711481761466,44.575340619796485,0.22084571489093374
glucagon_clearance,E2,AUC,350.87,16.842271088140375,16.878558171527825,0.21545243629881614
hp_fsh_follicle_scale,CL,AUC,0.562,44.47711481761466,44.572562796374996,0.2146002031645546
igf_lh_sensitivity_threshold,CL,AUC,0.5,44.47711481761466,44.38215796730891,-0.21349597584091176
glucagon_secretion_max,E2,AUC,70182.0,16.842271088140375,16.806679905521897,-0.21132056616485964
igf_lh_sensitivity_scale,CL,AUC,1.0,44.47711481761466,44.383502751426846,-0.2104724341308721
hm_p4_igf_threshold,IGF1,AUC,0.3,29.40509795337114,29.466474633837525,0.20872802588079173
hp_e2_1_threshold,P4,AUC,0.648,55.24403546337959,55.35908261306144,0.20825261716826002
hepatic_glucose_release,E2,AUC,0.0684,16.842271088140375,16.807494754465537,-0.20648244819741648
liver_usage_rate,E2,AUC,5.0,16.842271088140375,16.876698618241246,0.20441144736776723
