parameter,output,metric,nominal_value,base_metric,perturbed_metric,relative_sensitivity
hp_e2_1_threshold,IGF1,AUC,0.648,29.40509795337114,29.396221536330863,-0.03018666033472345
hm_p4_lh_threshold,IGF1,AUC,0.0269,29.40509795337114,29.396224159873718,-0.03017773826665511
hp_pg_iof_scale,CL,AUC,39.68,44.47711481761466,44.46379967540561,-0.029937063731882946
hp_e2_1_threshold,CL,AUC,0.648,44.47711481761466,44.49028517371205,0.029611534271945166
insulin_fsh_scale,P4,AUC,3.0,55.24403546337959,55.22792785995543,-0.029157181022443173
fsh_syn_scale,P4,AUC,4.21,55.24403546337959,55.22792786001033,-0.029157180923059342
inhibin_clearance,IGF1,AUC,0.475,29.40509795337114,29.41362857502232,0.029010689454958657
hp_p4_follicle_scale,E2,AUC,1.1,16.842271088140375,16.837826946939316,-0.026386828580312785
hp_fsh_follicle_threshold,P4,AUC,1.497,55.24403546337959,55.25758988685071,0.024535541904981712
hp_iof_scale,P4,AUC,41.39,55.24403546337959,55.25744865814528,0.024279896740311616
hp_e2_lh_scale,IGF1,AUC,0.376,29.40509795337114,29.39799820849096,-0.024144605440313154
feed_direct_blood_fraction,CL,AUC,0.08,44.47711481761466,44.48784662674684,0.024128833842262193
hm_e2_fsh_scale,Follicle,AUC,0.396,19.277313178356533,19.272726341545848,-0.023793963236714653
hp_fsh_follicle_scale,IGF1,AUC,0.562,29.40509795337114,29.39831446359461,-0.02306909430224557
cl_to_p4_scale,E2,AUC,2.25,16.842271088140375,16.845995628438807,0.02211424028826195
hp_cl_iof_threshold,CL,AUC,0.6,44.47711481761466,44.486892937906106,0.02198461013386327
hp_pg_iof_threshold,P4,AUC,1.22,55.24403546337959,55.256173095353844,0.02197093654083446
hp_enz_pg_scale,P4,AUC,53.91,55.24403546337959,55.232170593884035,-0.02147719549455961
iof_clearance,E2,AUC,0.298,16.842271088140375,16.838721164869526,-0.02107746189496548
lh_basal_release,E2,AUC,0.0141,16.842271088140375,16.84580174870834,0.020963090722666878
feed_direct_blood_fraction,E2,AUC,0.08,16.842271088140375,16.83894423446402,-0.019752999218130382
blood_to_liver_max,IGF1,AUC,50.0,29.40509795337114,29.399291496260176,-0.019746430092399223
hp_cl_self_scale,IGF1,AUC,0.0335,29.40509795337114,29.410789298749553,0.019354961467693957
hp_e2_lh_threshold,IGF1,AUC,0.243,29.40509795337114,29.41076297073462,0.01926542592193798
hp_iof_scale,CL,AUC,41.39,44.47711481761466,44.48528482484401,0.018369013509190485
iof_clearance,Follicle,AUC,0.298,19.277313178356533,19.273849732501322,-0.017966434550117087
insulin_fsh_threshold,IGF1,AUC,15.0,29.40509795337114,29.399854268744498,-0.017832569831791868
hm_p4_lh_scale,IGF1,AUC,2.71,29.40509795337114,29.400048769222686,-0.0171711182750047
follicle_to_inhibin_scale,IGF1,AUC,1.41,29.40509795337114,29.400055831054893,-0.017147102601878225
hm_ih_2_threshold,IGF1,AUC,0.118,29.40509795337114,29.41005928669569,0.016872357753812347
insulin_fsh_scale,IGF1,AUC,3.0,29.40509795337114,29.409982422009705,0.016610958570212737
fsh_syn_scale,IGF1,AUC,4.21,29.40509795337114,29.40998242200564,0.01661095855639097
hp_e2_1_scale,IGF1,AUC,0.99,29.40509795337114,29.409749540433232,0.01581898169313513
hp_gnrh_lh_threshold,IGF1,AUC,0.69,29.40509795337114,29.400600887485382,-0.015293490580745944
gnrh_syn,IGF1,AUC,2.75,29.40509795337114,29.40948613236723,0.014923191220277023
hp_p4_fsh_scale,Follicle,AUC,0.293,19.277313178356533,19.274437592291076,-0.014916944279794956
lh_basal_release,CL,AUC,0.0141,44.47711481761466,44.47048689950039,-0.014901861646034829
hp_fsh_follicle_threshold,IGF1,AUC,1.497,29.40509795337114,29.400723465703987,-0.01487663014790839
lh_basal_release,Follicle,AUC,0.0141,19.277313178356533,19.2800810307683,0.014358081887033056
hm_p4_igf_threshold,P4,AUC,0.3,55.24403546337959,55.2519469689958,0.014321013209576627
hp_enz_pg_threshold,P4,AUC,1.43,55.24403546337959,55.25191417506478,0.014261651269876613
hp_p4_enz_scale,P4,AUC,3.58,55.24403546337959,55.23620260358075,-0.014178652470149712
enz_clearance,P4,AUC,2.98,55.24403546337959,55.25181840849134,0.01408829939099702
feed_direct_blood_fraction,Follicle,AUC,0.08,19.277313178356533,19.274647608494675,-0.013827496794783461
gnrh_clearance,CL,AUC,1.63,44.47711481761466,44.483257563007584,0.013811024878997977
hp_p4_fsh_threshold,P4,AUC,0.152,55.24403546337959,55.25157265585695,0.013643450218900142
fsh_basal_release,E2,AUC,0.948,16.842271088140375,16.839998272587323,-0.013494709479249956
hm_p4_igf_threshold,CL,AUC,0.3,44.47711481761466,44.482623117858026,0.012384571854426695
fsh_basal_release,IGF1,AUC,0.948,29.40509795337114,29.40850988694736,0.011603204252647098
hp_pg_iof_threshold,E2,AUC,1.22,16.842271088140375,16.844140242325835,0.01109799370689536
hp_enz_pg_scale,E2,AUC,53.91,16.842271088140375,16.84041444107202,-0.011023733430237367
gnrh_hypo_max,E2,AUC,16.0,16.842271088140375,16.840450482293527,-0.010809740784487293
hp_iof_threshold,IGF1,AUC,1.82,29.40509795337114,29.401978882740217,-0.010607244484848313
fsh_clearance,IGF1,AUC,2.73,29.40509795337114,29.402086241188634,-0.010242143002827357
hp_pg_iof_scale,IGF1,AUC,39.68,29.40509795337114,29.40808723409229,0.01016585874289256
hp_cl_self_threshold,IGF1,AUC,0.2807,29.40509795337114,29.40801090399607,0.009906277576599452
hp_pg_iof_threshold,IGF1,AUC,1.22,29.40509795337114,29.402192319114548,-0.009881396284412572
hp_enz_pg_scale,IGF1,AUC,53.91,29.40509795337114,29.407987594696085,0.009827007988638803
cl_to_p4_scale,Follicle,AUC,2.25,19.277313178356533,19.279169922783993,0.00963175941730742
gnrh_clearance,Follicle,AUC,1.63,19.277313178356533,19.27915828941512,0.009571411957229305
hp_pg_iof_threshold,CL,AUC,1.22,44.47711481761466,44.47312044258385,-0.008980742224835333
lh_basal_release,P4,AUC,0.0141,55.24403546337959,55.2393004672798,-0.008571053979086583
fsh_basal_release,CL,AUC,0.948,44.47711481761466,44.480925910988574,0.008568661410570192
feed_direct_blood_fraction,P4,AUC,0.08,55.24403546337959,55.24875158295373,0.008536884633033766
liver_to_storage_max,CL,AUC,180.0,44.47711481761466,44.47338736710903,-0.008380603195420689
gnrh_clearance,IGF1,AUC,1.63,29.40509795337114,29.402652499192016,-0.008316429290601909
hp_oxt_pg_threshold,CL,AUC,1.087,44.47711481761466,44.47342286292481,-0.008300796274658063
hp_pg_iof_threshold,Follicle,AUC,1.22,19.277313178356533,19.278908483400073,0.008275557017623078
hp_enz_pg_scale,Follicle,AUC,53.91,19.277313178356533,19.27573965638885,-0.00816255851177784
storage_to_liver_max,CL,AUC,1350.0,44.47711481761466,44.480679798904845,0.008015315977219085
hp_enz_pg_scale,CL,AUC,53.91,44.47711481761466,44.48065987979898,0.007970530909777902
hp_enz_pg_threshold,E2,AUC,1.43,16.842271088140375,16.843491666500658,0.0072471126601317565
hp_p4_enz_scale,E2,AUC,3.58,16.842271088140375,16.841058008948302,-0.007202586787285782
enz_clearance,E2,AUC,2.98,16.842271088140375,16.843472129865162,0.007131115028975587
hm_e2_fsh_threshold,P4,AUC,0.312,55.24403546337959,55.24018137105098,-0.006976485870884729
hm_p4_igf_threshold,Follicle,AUC,0.3,19.277313178356533,19.27598446153041,-0.006892645327849461
hp_gnrh_lh_threshold,CL,AUC,0.69,44.47711481761466,44.47410684361691,-0.00676297014788039
pg_clearance,P4,AUC,1.23,55.24403546337959,55.24774022552742,0.006706175819269198
hp_cl_iof_threshold,IGF1,AUC,0.6,29.40509795337114,29.403147233898096,-0.00663394992302709
feed_direct_blood_fraction,Glucose,AUC,0.08,42.87980691299765,42.88264358601537,0.006615405296655932
hp_enz_pg_threshold,IGF1,AUC,1.43,29.40509795337114,29.403199469593027,-0.006456308294309393
hp_p4_enz_scale,IGF1,AUC,3.58,29.40509795337114,29.406980028391633,0.006400505869688219
enz_clearance,IGF1,AUC,2.98,29.40509795337114,29.403222324700224,-0.006378583311950009
hp_enz_pg_threshold,CL,AUC,1.43,44.47711481761466,44.47451224806543,-0.005851480159863013
liver_to_storage_max,Insulin,AUC,180.0,1374.0650467631717,1373.9851372171188,-0.005815557730776367
enz_clearance,CL,AUC,2.98,44.47711481761466,44.47452912425601,-0.005813536622725918
storage_to_liver_max,Insulin,AUC,1350.0,1374.0650467631717,1374.1435082295238,0.005710171184176334
gnrh_hypo_max,P4,AUC,16.0,55.24403546337959,55.240892771208905,-0.005688744756467148
hp_enz_pg_threshold,Follicle,AUC,1.43,19.277313178356533,19.278355054022406,0.005404672613000611
hp_p4_enz_scale,CL,AUC,3.58,44.47711481761466,44.479496308513006,0.005354418577080855
hp_p4_enz_scale,Follicle,AUC,3.58,19.277313178356533,19.27628113767279,-0.005353654185074294
enz_clearance,Follicle,AUC,2.98,19.277313178356533,19.278337913433766,0.005315756753821891
hp_p4_enz_threshold,P4,AUC,0.77,55.24403546337959,55.24692934188896,0.0052383546659746216
liver_to_storage_max,E2,AUC,180.0,16.842271088140375,16.843120467065894,0.005043137716249914
storage_to_liver_max,E2,AUC,1350.0,16.842271088140375,16.841432041039376,-0.004981793112155766
hm_p4_igf_threshold,E2,AUC,0.3,16.842271088140375,16.8414636150194,-0.004794324451551413
liver_to_storage_max,P4,AUC,180.0,55.24403546337959,55.241517479211794,-0.004557929460936094
hp_gnrh_fsh_scale,P4,AUC,1.23,55.24403546337959,55.24166804871531,-0.004285376049052231
liver_to_storage_max,Follicle,AUC,180.0,19.277313178356533,19.278132086302254,0.004248039849456095
hm_e2_fsh_threshold,CL,AUC,0.312,44.47711481761466,44.47523195418073,-0.004233330875114684
storage_to_liver_max,Follicle,AUC,1350.0,19.277313178356533,19.27649885057292,-0.0042242805108659125
hp_iof_scale,IGF1,AUC,41.39,29.40509795337114,29.40386221659167,-0.004202457619526383
hm_follicle_threshold,CL,AUC,0.322,44.47711481761466,44.47525695377747,-0.004177123099853361
storage_to_liver_max,P4,AUC,1350.0,55.24403546337959,55.246343031143,0.004177044171473189
gnrh_hypo_max,Follicle,AUC,16.0,19.277313178356533,19.276551994933868,-0.003948597066519703
hp_gnrh_fsh_threshold,P4,AUC,0.0708,55.24403546337959,55.246168184665876,0.003860545791773145
hm_p4_2_scale,E2,AUC,1.91,16.842271088140375,16.841626667250523,-0.0038262113611622437
gnrh_syn,CL,AUC,2.75,44.47711481761466,44.47877360479187,0.003729529633403915
gnrh_release_scale,P4,AUC,2.05,55.24403546337959,55.24203664045198,-0.003618169655502225
hm_e2_fsh_scale,E2,AUC,0.396,16.842271088140375,16.8416647363213,-0.0036001784789189764
hp_gnrh_fsh_scale,CL,AUC,1.23,44.47711481761466,44.47551712741169,-0.0035921624177337103
hp_cl_self_threshold,E2,AUC,0.2807,16.842271088140375,16.842874364429562,0.0035819176999935336
hp_e2_1_scale,CL,AUC,0.99,44.47711481761466,44.47867998129795,0.003519031505768112
hm_p4_2_scale,P4,AUC,1.91,55.24403546337959,55.24210077020536,-0.003502085171728906
hp_cl_self_threshold,Follicle,AUC,0.2807,19.277313178356533,19.277956903997627,0.0033392912961376225
hm_e2_fsh_scale,IGF1,AUC,0.396,29.40509795337114,29.406059677447544,0.003270603206047553
hm_e2_fsh_threshold,Follicle,AUC,0.312,19.277313178356533,19.27669834327373,-0.003189423116774221
hp_gnrh_fsh_threshold,CL,AUC,0.0708,44.47711481761466,44.47853019390426,0.003182257427002765
gnrh_release_scale,E2,AUC,2.05,16.842271088140375,16.841767022588645,-0.0029928597461270534
feed_direct_blood_fraction,IGF1,AUC,0.08,29.40509795337114,29.405972229361723,0.002973212304782145
lh_basal_release,IGF1,AUC,0.0141,29.40509795337114,29.40597032988185,0.0029667526089975616
hp_iof_scale,E2,AUC,41.39,16.842271088140375,16.84180240207632,-0.00278279610632108
pg_clearance,IGF1,AUC,1.23,29.40509795337114,29.404300133229352,-0.0027132034827868578
hp_p4_fsh_threshold,E2,AUC,0.152,16.842271088140375,16.84272414939,0.0026900246840528604
hp_p4_enz_threshold,E2,AUC,0.77,16.842271088140375,16.8427157845627,0.00264035901094882
pg_clearance,E2,AUC,1.23,16.842271088140375,16.842710812211973,0.0026108359691886223
hp_p4_fsh_threshold,Follicle,AUC,0.152,19.277313178356533,19.27779302425636,0.00248917416752605
hm_p4_2_threshold,E2,AUC,0.252,16.842271088140375,16.842678875028245,0.0024212108078269993
hm_e2_fsh_threshold,E2,AUC,0.312,16.842271088140375,16.841863786024952,-0.002418332499767187
storage_fat_threshold,Insulin,AUC,1000.0,1374.0650467631717,1374.0976993189943,0.0023763471678047193
hp_p4_enz_threshold,IGF1,AUC,0.77,29.40509795337114,29.40440059178566,-0.0023715669527312184
hp_iof_scale,Follicle,AUC,41.39,19.277313178356533,19.27687138709448,-0.002291767830735934
hp_p4_enz_threshold,CL,AUC,0.77,44.47711481761466,44.476173648619636,-0.002116074747398414
hp_p4_enz_threshold,Follicle,AUC,0.77,19.277313178356533,19.27769219367647,0.0019661210897463266
pg_clearance,Follicle,AUC,1.23,19.277313178356533,19.277685439125612,0.0019310822293308755
hm_e2_fsh_threshold,IGF1,AUC,0.312,29.40509795337114,29.405640780936896,0.0018460321629144964
hm_p4_1_threshold,E2,AUC,0.35,16.842271088140375,16.842570474675412,0.0017775900498818817
hp_p4_fsh_scale,E2,AUC,0.293,16.842271088140375,16.84256307684806,0.0017336658824423624
hp_p4_fsh_threshold,IGF1,AUC,0.152,29.40509795337114,29.404590752131725,-0.0017248751907558907
hp_gnrh_lh_scale,IGF1,AUC,2.22,29.40509795337114,29.40460595609668,-0.0016731699899078414
hp_cl_iof_threshold,E2,AUC,0.6,16.842271088140375,16.842011639916713,-0.0015404586608578576
fsh_syn_scale,CL,AUC,4.21,44.47711481761466,44.47643760724204,-0.001522604097408374
insulin_fsh_scale,CL,AUC,3.0,44.47711481761466,44.476437607244456,-0.001522604091976715
hm_p4_2_threshold,Follicle,AUC,0.252,19.277313178356533,19.27759742652404,0.0014745217078584128
hp_iof_threshold,Follicle,AUC,1.82,19.277313178356533,19.277029101117297,-0.001473635026871975
hp_gnrh_fsh_scale,Follicle,AUC,1.23,19.277313178356533,19.277035591902855,-0.0014399644344052936
hp_cl_iof_threshold,Follicle,AUC,0.6,19.277313178356533,19.277037463717534,-0.0014302544988917256
hp_iof_threshold,E2,AUC,1.82,16.842271088140375,16.842039270718672,-0.0013764023894991249
storage_fat_threshold,CL,AUC,1000.0,44.47711481761466,44.47772057450285,0.0013619518502230128
hm_p4_2_threshold,CL,AUC,0.252,44.47711481761466,44.476519311392266,-0.0013389047937081597
hp_pg_iof_scale,Follicle,AUC,39.68,19.277313178356533,19.277552791270075,0.0012429787871668227
pg_clearance,CL,AUC,1.23,44.47711481761466,44.476569440656704,-0.0012261967985002363
hm_p4_1_threshold,CL,AUC,0.35,44.47711481761466,44.47657008278567,-0.0012247530695858923
hm_p4_2_scale,Follicle,AUC,1.91,19.277313178356533,19.277077491948017,-0.0012226102586765293
hm_p4_1_threshold,Follicle,AUC,0.35,19.277313178356533,19.277545034937155,0.0012027432374915306
storage_fat_threshold,E2,AUC,1000.0,16.842271088140375,16.842080520849873,-0.001131482146945582
hp_gnrh_fsh_threshold,E2,AUC,0.0708,16.842271088140375,16.842455913692028,0.001097390908182953
hp_pg_iof_scale,E2,AUC,39.68,16.842271088140375,16.842451787425652,0.0010728914427955445
hm_follicle_threshold,IGF1,AUC,0.322,29.40509795337114,29.40540094779565,0.0010304146069807722
hp_gnrh_fsh_scale,IGF1,AUC,1.23,29.40509795337114,29.405400682308553,0.0010295117462052704
gnrh_release_scale,CL,AUC,2.05,44.47711481761466,44.47669500538071,-0.0009438836931571953
liver_to_storage_max,Glucose,AUC,180.0,42.87980691299765,42.879403685919314,-0.0009403658910010822
storage_to_liver_max,Glucose,AUC,1350.0,42.87980691299765,42.88020275215802,0.000923136527111804
hp_gnrh_fsh_threshold,IGF1,AUC,0.0708,29.40509795337114,29.404833589690337,-0.0008990402998201753
hp_gnrh_fsh_threshold,Follicle,AUC,0.0708,19.277313178356533,19.277468126710833,0.0008037860508183036
storage_fat_threshold,Follicle,AUC,1000.0,19.277313178356533,19.277161608924818,-0.0007862580760739916
storage_to_liver_max,IGF1,AUC,1350.0,29.40509795337114,29.40531382751061,0.0007341384810661216
gnrh_hypo_max,IGF1,AUC,16.0,29.40509795337114,29.405306623437138,0.0007096390779888009
liver_to_storage_max,IGF1,AUC,180.0,29.40509795337114,29.40489557323925,-0.0006882484534122927
gnrh_release_scale,Follicle,AUC,2.05,19.277313178356533,19.277185952702737,-0.0006599760693727534
gnrh_release_scale,IGF1,AUC,2.05,29.40509795337114,29.405283691029737,0.0006316512153503101
hm_p4_2_scale,IGF1,AUC,1.91,29.40509795337114,29.405247847311863,0.0005097549443991886
hm_e2_1_threshold,CL,AUC,0.0972,44.47711481761466,44.476904472714466,-0.00047292838363953774
storage_fat_threshold,P4,AUC,1000.0,55.24403546337959,55.24428941929265,0.00045969833834459694
hm_e2_1_threshold,E2,AUC,0.0972,16.842271088140375,16.8423383473867,0.0003993478431343879
storage_fat_threshold,Glucose,AUC,1000.0,42.87980691299765,42.87997169803738,0.00038429519998399214
hp_gnrh_fsh_scale,E2,AUC,1.23,16.842271088140375,16.842208330048216,-0.00037262250340864054
hm_p4_2_scale,CL,AUC,1.91,44.47711481761466,44.476957569136516,-0.0003535491876913901
hp_p4_fsh_threshold,CL,AUC,0.152,44.47711481761466,44.477237155245845,0.0002750574799746108
hm_e2_1_threshold,Follicle,AUC,0.0972,19.277313178356533,19.27736441718317,0.00026579859009269186
hp_lh_follicle_threshold,Insulin,AUC,0.1,1374.0650467631717,1374.0615955990634,-0.00025116453667788194
hp_p4_fsh_scale,IGF1,AUC,0.293,29.40509795337114,29.405171597677086,0.00025044740902648873
hm_p4_1_threshold,P4,AUC,0.35,55.24403546337959,55.243899113414294,-0.00024681391240092876
hm_p4_2_threshold,IGF1,AUC,0.252,29.40509795337114,29.40516759542492,0.00023683666652332612
hm_p4_1_threshold,IGF1,AUC,0.35,29.40509795337114,29.40515826346155,0.00020510079751189956
hm_p4_2_threshold,P4,AUC,0.252,55.24403546337959,55.243929122966875,-0.00019249211579452054
storage_fat_threshold,IGF1,AUC,1000.0,29.40509795337114,29.405149176456593,0.000174197975924009
hp_lh_follicle_threshold,CL,AUC,0.1,44.47711481761466,44.47705079840408,-0.00014393741780673288
hp_lh_follicle_threshold,E2,AUC,0.1,16.842271088140375,16.842291231274057,0.00011959867868479352
hm_e2_1_threshold,P4,AUC,0.0972,55.24403546337959,55.244099610369716,0.00011611568486759637
hp_lh_follicle_threshold,Follicle,AUC,0.1,19.277313178356533,19.27732919963904,8.310952029688498e-05
hp_lh_follicle_threshold,P4,AUC,0.1,55.24403546337959,55.24400864205232,-4.8550630023021296e-05
gnrh_hypo_max,CL,AUC,16.0,44.47711481761466,44.47713602180284,4.7674378759673335e-05
hm_e2_1_threshold,IGF1,AUC,0.0972,29.40509795337114,29.40511095005599,4.419874700806689e-05
hp_lh_follicle_threshold,Glucose,AUC,0.1,42.87980691299765,42.879789496233,-4.061763777180232e-05
hp_lh_follicle_threshold,IGF1,AUC,0.1,29.40509795337114,29.40509253791783,-1.8416715759582017e-05
hp_lh_follicle_scale,Insulin,AUC,3.49,1374.0650467631717,1374.0650467639684,5.798250676923041e-11
igf_lh_sensitivity_scale,Insulin,AUC,1.0,1374.0650467631717,1374.065046762384,-5.732060600702459e-11
igf_lh_sensitivity_threshold,Insulin,AUC,0.5,1374.0650467631717,1374.0650467623998,-5.617882719221954e-11
hp_e2_1_scale,Insulin,AUC,0.99,1374.0650467631717,1374.0650467637827,4.4463183701176406e-11
cl_formation_scale,Insulin,AUC,0.4,1374.0650467631717,1374.065046763743,4.1583915385581064e-11
hp_gnrh_lh_threshold,Insulin,AUC,0.69,1374.0650467631717,1374.0650467626415,-3.858881443659969e-11
hp_e2_1_threshold,Insulin,AUC,0.648,1374.0650467631717,1374.0650467627138,-3.3326703377063373e-11
gnrh_clearance,Insulin,AUC,1.63,1374.0650467631717,1374.065046762828,-2.5019848811380245e-11
cl_to_p4_scale,Insulin,AUC,2.25,1374.0650467631717,1374.0650467634896,2.3133431639093643e-11
gnrh_release_scale,Insulin,AUC,2.05,1374.0650467631717,1374.0650467634873,2.296795644854219e-11
hm_p4_2_scale,Insulin,AUC,1.91,1374.0650467631717,1374.0650467634641,2.1280109504917325e-11
hm_follicle_threshold,Insulin,AUC,0.322,1374.0650467631717,1374.0650467629544,-1.581942821671926e-11
hp_p4_enz_scale,Insulin,AUC,3.58,1374.0650467631717,1374.0650467633857,1.5571215430892073e-11
hp_cl_self_threshold,Insulin,AUC,0.2807,1374.0650467631717,1374.0650467629594,-1.545538279750605e-11
hp_gnrh_lh_scale,Insulin,AUC,2.22,1374.0650467631717,1374.0650467633673,1.4230866387425273e-11
hp_p4_enz_threshold,Insulin,AUC,0.77,1374.0650467631717,1374.0650467629805,-1.3916463525377505e-11
p4_clearance,Insulin,AUC,1.41,1374.0650467631717,1374.065046763348,1.282432726773789e-11
igf_clearance,Insulin,AUC,1.7,1374.0650467631717,1374.0650467629966,-1.2741589672462163e-11
enz_clearance,Insulin,AUC,2.98,1374.0650467631717,1374.065046763338,1.209623642931148e-11
p4_baseline,Insulin,AUC,0.1,1374.0650467631717,1374.065046763315,1.042493700474177e-11
hp_p4_follicle_scale,Insulin,AUC,1.1,1374.0650467631717,1374.0650467630544,-8.538519832455164e-12
hm_p4_igf_scale,Insulin,AUC,2.5,1374.0650467631717,1374.0650467630564,-8.389592160958852e-12
follicle_to_e2_scale,Insulin,AUC,2.19,1374.0650467631717,1374.0650467632845,8.20756945135225e-12
milk_storage_threshold,P4,AUC,10.0,55.24403546337959,55.244035463375546,-7.31841570327534e-12
lh_clearance,Insulin,AUC,2.0,1374.0650467631717,1374.0650467630744,-7.082338155602345e-12
lh_basal_release,Insulin,AUC,0.0141,1374.0650467631717,1374.0650467632686,7.049243117492053e-12
igf_lh_sensitivity_threshold,Glucose,AUC,0.5,42.87980691299765,42.87980691299471,-6.860214953895111e-12
igf_lh_sensitivity_scale,Glucose,AUC,1.0,42.87980691299765,42.87980691299477,-6.71107984620174e-12
e2_clearance,Insulin,AUC,1.23,1374.0650467631717,1374.065046763082,-6.536270026782539e-12
hm_p4_lh_threshold,Insulin,AUC,0.0269,1374.0650467631717,1374.0650467630846,-6.3376997981207905e-12
hp_lh_follicle_scale,Glucose,AUC,3.49,42.87980691299765,42.87980691299995,5.3688638769613915e-12
insulin_igf_scale,Insulin,AUC,0.4,1374.0650467631717,1374.0650467631117,-4.368545030558455e-12
hp_e2_1_scale,Glucose,AUC,0.99,42.87980691299765,42.87980691299934,3.9437950701136145e-12
gnrh_hypo_max,Insulin,AUC,16.0,1374.0650467631717,1374.0650467631176,-3.938309535124669e-12
hp_gnrh_lh_threshold,Glucose,AUC,0.69,42.87980691299765,42.879806912995974,-3.910653935070643e-12
cl_formation_scale,Glucose,AUC,0.4,42.87980691299765,42.879806912999285,3.811230529941729e-12
hp_e2_1_threshold,Glucose,AUC,0.648,42.87980691299765,42.879806912996045,-3.744948259855785e-12
insulin_lh_threshold,Insulin,AUC,16.0,1374.0650467631717,1374.0650467632156,3.193671177643114e-12
hp_cl_self_threshold,Glucose,AUC,0.2807,42.87980691299765,42.879806912996315,-3.1152666940393264e-12
igf_basal_release,Insulin,AUC,0.4,1374.0650467631717,1374.0650467631303,-3.0116484680365112e-12
gnrh_clearance,Glucose,AUC,1.63,42.87980691299765,42.879806912996386,-2.949561018824468e-12
gnrh_syn,Insulin,AUC,2.75,1374.0650467631717,1374.0650467632117,2.9123633537056373e-12
hp_iof_threshold,Insulin,AUC,1.82,1374.0650467631717,1374.0650467631353,-2.6476030488233064e-12
hm_follicle_threshold,Glucose,AUC,0.322,42.87980691299765,42.87980691299656,-2.5518673983088097e-12
hp_fsh_follicle_scale,Insulin,AUC,0.562,1374.0650467631717,1374.0650467631388,-2.3993902629961215e-12
igf_clearance,Glucose,AUC,1.7,42.87980691299765,42.87980691299664,-2.35302058805098e-12
gnrh_release_scale,Glucose,AUC,2.05,42.87980691299765,42.8798069129986,2.220456047879094e-12
cl_to_p4_scale,Glucose,AUC,2.25,42.87980691299765,42.87980691299859,2.1873149128361224e-12
milk_storage_threshold,CL,AUC,10.0,44.47711481761466,44.477114817613696,-2.172663682427145e-12
fsh_basal_release,Insulin,AUC,0.948,1374.0650467631717,1374.0650467631433,-2.0684398818932082e-12
hm_p4_2_scale,Glucose,AUC,1.91,42.87980691299765,42.87980691299852,2.0216092376212646e-12
follicle_to_inhibin_scale,Insulin,AUC,1.41,1374.0650467631717,1374.065046763144,-2.0187973247277715e-12
hm_p4_igf_threshold,Insulin,AUC,0.3,1374.0650467631717,1374.0650467631444,-1.98570228661748e-12
insulin_igf_threshold,Insulin,AUC,15.0,1374.0650467631717,1374.0650467631988,1.9691547675623343e-12
hm_e2_fsh_scale,Insulin,AUC,0.396,1374.0650467631717,1374.0650467631986,1.9526072485071887e-12
milk_storage_threshold,IGF1,AUC,10.0,29.40509795337114,29.405097953371673,1.8122947682919726e-12
lh_clearance,Glucose,AUC,2.0,42.87980691299765,42.879806912996905,-1.7399095897560064e-12
hp_p4_follicle_scale,Glucose,AUC,1.1,42.87980691299765,42.87980691299699,-1.5410627794981774e-12
pg_clearance,Insulin,AUC,1.23,1374.0650467631717,1374.0650467631506,-1.538919272128547e-12
hp_p4_enz_threshold,Glucose,AUC,0.77,42.87980691299765,42.87980691299703,-1.4416393743692626e-12
insulin_fsh_scale,Insulin,AUC,3.0,1374.0650467631717,1374.0650467631915,1.4396341577976729e-12
insulin_lh_scale,Insulin,AUC,1.05,1374.0650467631717,1374.0650467631522,-1.4230866387425275e-12
hp_p4_fsh_scale,Insulin,AUC,0.293,1374.0650467631717,1374.0650467631897,1.3072540053565076e-12
hp_p4_enz_scale,Glucose,AUC,3.58,42.87980691299765,42.87980691299818,1.2262219965899475e-12
hm_p4_igf_scale,Glucose,AUC,2.5,42.87980691299765,42.879806912997154,-1.1599397265040044e-12
hp_cl_iof_threshold,Insulin,AUC,0.6,1374.0650467631717,1374.0650467631874,1.141778814805051e-12
iof_clearance,Insulin,AUC,0.298,1374.0650467631717,1374.0650467631863,1.0590412195293227e-12
hp_p4_fsh_threshold,Insulin,AUC,0.152,1374.0650467631717,1374.065046763186,1.0424937004741769e-12
hp_oxt_pg_threshold,Insulin,AUC,1.087,1374.0650467631717,1374.0650467631858,1.0259461814190313e-12
p4_baseline,Glucose,AUC,0.1,42.87980691299765,42.879806912998035,8.948106461602319e-13
hp_enz_pg_threshold,Insulin,AUC,1.43,1374.0650467631717,1374.0650467631838,8.770185099227204e-13
fsh_clearance,Glucose,AUC,2.73,42.87980691299765,42.87980691299728,-8.616695111172604e-13
enz_clearance,Glucose,AUC,2.98,42.87980691299765,42.87980691299802,8.616695111172604e-13
hp_gnrh_lh_scale,Glucose,AUC,2.22,42.87980691299765,42.87980691299802,8.616695111172604e-13
e2_clearance,Glucose,AUC,1.23,42.87980691299765,42.879806912997296,-8.285283760742888e-13
hm_e2_1_threshold,Insulin,AUC,0.0972,1374.0650467631717,1374.0650467631826,7.94280914646992e-13
hm_p4_1_threshold,Insulin,AUC,0.35,1374.0650467631717,1374.0650467631826,7.94280914646992e-13
hp_iof_scale,Insulin,AUC,41.39,1374.0650467631717,1374.0650467631608,-7.94280914646992e-13
follicle_to_e2_scale,Glucose,AUC,2.19,42.87980691299765,42.87980691299797,7.4567553846686e-13
