param,parameter,sensitivity_raw,sensitivity_0to1,nullspace_raw,nullspace_0to1,identifiable_raw,identifiable_0to1,recommendation,recommendation_3class
hp_cl_self_scale,hp_cl_self_scale,33.06272225013774,0.0886415349734846,0.0003295847714159107,0.0003280351689117734,0.9999999456869381,0.9999999456881393,ESTIMATE_candidate,Estimate
hp_e2_oxt_threshold,hp_e2_oxt_threshold,32.27156565798948,0.0865204351377891,0.0004195202634506546,0.00041797080035672847,0.9999999120013708,0.9999999120025721,ESTIMATE_candidate,Estimate
p4_clearance,p4_clearance,30.433754478404207,0.08159324243062507,9.22582012464307e-06,7.675721027803364e-06,0.9999999999574423,0.9999999999586435,ESTIMATE_candidate,Estimate
fsh_clearance,fsh_clearance,28.437390759463636,0.07624096855936122,0.0012552381550081802,0.0012536899873717546,0.9999992121882771,0.9999992121894784,ESTIMATE_candidate,Estimate
igf_clearance,igf_clearance,28.202656436130116,0.07561164316462127,0.00040294528743535876,0.0004013957986483402,0.9999999188175442,0.9999999188187455,ESTIMATE_candidate,Estimate
blood_to_liver_max,blood_to_liver_max,22.423017604068924,0.060116365619405594,0.9293168510530536,0.9293167414861572,0.36928334696928367,0.36928334696972726,FIX_anchor_compensation,Fix (anchor)
insulin_lh_scale,insulin_lh_scale,22.321754125408706,0.05984487707961486,0.3165647351640841,0.3165636757619234,0.9485709084989339,0.9485709085000734,ESTIMATE_or_constrain,Estimate
oxt_clearance,oxt_clearance,21.71825624643188,0.05822689239157166,0.0013482922292366154,0.0013467442058445569,0.9999990910536195,0.9999990910548208,ESTIMATE_or_constrain,Estimate
hp_e2_1_threshold,hp_e2_1_threshold,19.43916309705935,0.052116617696719734,0.005153935042812539,0.005152392918598393,0.9999867183885871,0.9999867183897884,ESTIMATE_or_constrain,Estimate
hp_gnrh_lh_threshold,hp_gnrh_lh_threshold,16.823878633181582,0.045105010258089474,0.034702460652549554,0.03470096433190084,0.9993976882225907,0.9993976882237912,ESTIMATE_or_constrain,Estimate
hm_e2_fsh_scale,hm_e2_fsh_scale,16.61956767411435,0.0445572502495031,0.007666424339845275,0.007664886110274449,0.9999706125371094,0.9999706125383107,ESTIMATE_or_constrain,Estimate
p4_baseline,p4_baseline,16.401787390953395,0.043973378829591,1.5501109950592645e-06,0.0,0.9999999999987987,1.0,ESTIMATE_candidate,Estimate
lh_clearance,lh_clearance,16.258630886374522,0.0435895746101046,0.045648987527673254,0.045647508175382503,0.9989575416091006,0.9989575416103006,ESTIMATE_or_constrain,Estimate
hm_p4_lh_threshold,hm_p4_lh_threshold,16.18273691922191,0.04338610201965247,0.0028397400240587943,0.002838194312579944,0.9999959679301689,0.9999959679313701,ESTIMATE_or_constrain,Estimate
insulin_igf_scale,insulin_igf_scale,15.804147332023451,0.042371099023820524,0.1582886829087685,0.15828737816077865,0.9873928766519472,0.9873928766531334,ESTIMATE_or_constrain,Estimate
hm_p4_igf_scale,hm_p4_igf_scale,15.804147300122635,0.04237109893829407,0.9874418530372279,0.9874418335706758,0.15798286891434082,0.1579828689145306,FIX_anchor_compensation,Fix (anchor)
hp_e2_1_scale,hp_e2_1_scale,15.448990134638096,0.04141891853199827,0.03343142264775421,0.03342992435685245,0.9994410137570636,0.9994410137582642,ESTIMATE_or_constrain,Estimate
gnrh_syn,gnrh_syn,15.119131494488142,0.040534563760302594,0.03678941785857371,0.03678792477294532,0.9993230402295479,0.9993230402307484,ESTIMATE_or_constrain,Estimate
igf_basal_release,igf_basal_release,13.174659639235928,0.035321412566692766,9.365814997757308e-05,9.210818176041907e-05,0.9999999956140755,0.9999999956152767,ESTIMATE_candidate,Estimate
hp_e2_lh_scale,hp_e2_lh_scale,12.604447125029822,0.03379266632075687,0.09897029473625599,0.09896889803803792,0.995090388236073,0.9950903882372684,ESTIMATE_or_constrain,Estimate
iof_clearance,iof_clearance,11.951283052307174,0.03204152600152841,0.0007200831904546312,0.0007185341932673249,0.9999997407400657,0.999999740741267,ESTIMATE_candidate,Estimate
hp_e2_lh_threshold,hp_e2_lh_threshold,11.518845271700389,0.030882155385778442,0.011435337923008743,0.011433805535681355,0.9999346143856547,0.9999346143868558,ESTIMATE_or_constrain,Estimate
hp_p4_follicle_threshold,hp_p4_follicle_threshold,11.416755658852917,0.030608451970821102,1.915945216442297e-05,1.7609368465839376e-05,0.9999999998164575,0.9999999998176587,ESTIMATE_candidate,Estimate
hp_p4_fsh_scale,hp_p4_fsh_scale,10.40039506603292,0.027883577644002774,0.0007842930803170557,0.00078274418266236,0.9999996924421349,0.9999996924433362,ESTIMATE_candidate,Estimate
hm_p4_lh_scale,hm_p4_lh_scale,9.72365651317022,0.026069233874979506,0.48680351539026356,0.4868027198775169,0.8735114981519602,0.8735114981530094,ESTIMATE_or_constrain,Estimate
hp_gnrh_lh_scale,hp_gnrh_lh_scale,9.624672163366817,0.02580385570561569,0.04076067085422035,0.04075918392448444,0.9991689385241689,0.9991689385253691,ESTIMATE_or_constrain,Estimate
