biomarker,parameter,spearman_rho,abs_spearman_rho,p_value,samples
FSH,gnrh_hypo_max,0.03916894907415381,0.03916894907415381,9.914675831616128e-06,12721
FSH,gnrh_syn,-0.01980375692304799,0.01980375692304799,0.02550848198354957,12721
FSH,gnrh_release_scale,0.031845252703842426,0.031845252703842426,0.00032777008927433544,12721
FSH,hm_e2_1_threshold,-0.006257745374710096,0.006257745374710096,0.48035453697652764,12721
FSH,hm_p4_1_threshold,0.0279736261767675,0.0279736261767675,0.0016028904649287542,12721
FSH,hm_p4_2_scale,-0.062426743141513544,0.062426743141513544,1.8264235319435615e-12,12721
FSH,hm_p4_2_threshold,-0.019778123430423657,0.019778123430423657,0.025699529617741284,12721
FSH,hp_e2_1_scale,0.02389676062119346,0.02389676062119346,0.007030971302985309,12721
FSH,hp_e2_1_threshold,-0.0018611473151517127,0.0018611473151517127,0.833750763783202,12721
FSH,gnrh_clearance,0.047201365910332145,0.047201365910332145,1.0030786673187354e-07,12721
FSH,fsh_syn_scale,0.1596504523352651,0.1596504523352651,2.1708307972327108e-73,12721
FSH,hm_ih_2_threshold,0.17843103000387456,0.17843103000387456,1.7169802598135114e-91,12721
FSH,hp_p4_fsh_scale,-0.018045919217178095,0.018045919217178095,0.04181886476889464,12721
FSH,hp_p4_fsh_threshold,-0.009057189350633824,0.009057189350633824,0.3070377349530583,12721
FSH,hm_e2_fsh_scale,-0.02434065693690885,0.02434065693690885,0.006042675641244932,12721
FSH,hm_e2_fsh_threshold,0.06593123492534071,0.06593123492534071,9.799119673868471e-14,12721
FSH,hp_gnrh_fsh_scale,0.013408430985100327,0.013408430985100327,0.13047750418188747,12721
FSH,hp_gnrh_fsh_threshold,-0.057213049094669025,0.057213049094669025,1.0639959224839946e-10,12721
FSH,fsh_clearance,-0.3039215154574252,0.3039215154574252,4.932895198358298e-270,12721
FSH,fsh_basal_release,-0.1223985910127108,0.1223985910127108,1.1736290788148683e-43,12721
FSH,hp_e2_lh_scale,-0.03786835680566445,0.03786835680566445,1.9356562403058412e-05,12721
FSH,hp_e2_lh_threshold,0.0587351271804245,0.0587351271804245,3.3647120706128875e-11,12721
FSH,hm_p4_lh_scale,-0.010481670021392081,0.010481670021392081,0.23715939130030556,12721
FSH,hm_p4_lh_threshold,-0.01874821987532576,0.01874821987532576,0.0344690684419434,12721
FSH,hp_gnrh_lh_scale,-0.08024292874959596,0.08024292874959596,1.2561270636690417e-19,12721
FSH,hp_gnrh_lh_threshold,-0.022917940332745808,0.022917940332745808,0.009739576985403894,12721
FSH,lh_basal_release,-0.0251135580837542,0.0251135580837542,0.00461622312988693,12721
FSH,lh_clearance,-0.0030321507047350944,0.0030321507047350944,0.7323843013782144,12721
FSH,hp_fsh_follicle_scale,-0.534199217538241,0.534199217538241,0.0,12721
FSH,hp_fsh_follicle_threshold,0.5364626980574076,0.5364626980574076,0.0,12721
FSH,hm_follicle_threshold,0.150760337308578,0.150760337308578,1.4836593236646717e-65,12721
FSH,hp_p4_follicle_scale,-0.06868643743584266,0.06868643743584266,8.809047400422052e-15,12721
FSH,hp_p4_follicle_threshold,-0.10078336215988534,0.10078336215988534,4.428331007026587e-30,12721
FSH,hp_lh_follicle_scale,0.0074044057674320166,0.0074044057674320166,0.4036877922374633,12721
FSH,hp_lh_follicle_threshold,-0.02213513930238671,0.02213513930238671,0.01253812664428751,12721
FSH,hp_enz_pg_scale,-0.027971492028488913,0.027971492028488913,0.0016042141737391599,12721
FSH,hp_enz_pg_threshold,0.0007863154737036035,0.0007863154737036035,0.9293379879952507,12721
FSH,hp_oxt_pg_threshold,0.016237984838567296,0.016237984838567296,0.067043691522352,12721
FSH,pg_clearance,-0.029271057132627964,0.029271057132627964,0.0009607005544317968,12721
