parameter,profile_class,top_biomarkers,reason_selected,best_day,low_day,best_species,top_species,candidate_bed_biomarkers_days
insulin_glucose_threshold,Practically identifiable,Insulin|Glucose|E2|IGF1|FSH,representative profile-likelihood class; linked to global sensitivity and BED,65,58,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon|PGF,Insulin,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon|PGF @ day 65
inhibin_clearance,Practically identifiable,Insulin|E2|P4|INH|PGF,representative profile-likelihood class; linked to global sensitivity and BED,65,71,Insulin|INH|IGF1|E2|FSH|P4|PGF|Glucose|Glucagon,Insulin,Insulin|INH|IGF1|E2|FSH|P4|PGF|Glucose|Glucagon @ day 65
hp_p4_follicle_scale,Practically identifiable,PGF|FSH|INH|IGF1|Insulin,representative profile-likelihood class; linked to global sensitivity and BED,65,70,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose|Glucagon,INH,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose|Glucagon @ day 65
blood_to_liver_glucose_threshold,Boundary-limited,Glucose|Insulin|Glucagon|E2|IGF1,representative profile-likelihood class; linked to global sensitivity and BED,65,57,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4|PGF,Glucose,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4|PGF @ day 65
gnrh_clearance,Boundary-limited,INH|E2|P4|PGF|Insulin,representative profile-likelihood class; linked to global sensitivity and BED,62,80,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4|PGF,Insulin,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4|PGF @ day 62
hp_iof_threshold,Boundary-limited,PGF|P4|Insulin|FSH|Glucagon,representative profile-likelihood class; linked to global sensitivity and BED,69,87,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH|FSH,P4,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH|FSH @ day 69
insulin_igf_threshold,Weak/flat/non-identifiable,IGF1|INH|E2|PGF|Glucose,representative profile-likelihood class; linked to global sensitivity and BED,65,82,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon|P4,IGF1,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon|P4 @ day 65
feed_direct_blood_fraction,Weak/flat/non-identifiable,Glucose|Glucagon|E2|Insulin|FSH,representative profile-likelihood class; linked to global sensitivity and BED,64,76,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose|IGF1,P4,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose|IGF1 @ day 64
lh_basal_release,Weak/flat/non-identifiable,INH|E2|Insulin|PGF|P4,representative profile-likelihood class; linked to global sensitivity and BED,62,80,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose|FSH,IGF1,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose|FSH @ day 62
