parameter,day,biomarker,single_biomarker_mi_proxy,rank_within_parameter
blood_to_liver_glucose_threshold,68,Insulin,0.0019027230460704956,164
blood_to_liver_glucose_threshold,69,Insulin,0.0019027230460704956,165
blood_to_liver_glucose_threshold,70,Insulin,0.0019027230460704956,166
blood_to_liver_glucose_threshold,71,Insulin,0.0019027230460704956,167
blood_to_liver_glucose_threshold,72,Insulin,0.0019027230460704956,168
blood_to_liver_glucose_threshold,73,Insulin,0.0019027230460704956,169
blood_to_liver_glucose_threshold,74,Insulin,0.0019027230460704956,170
blood_to_liver_glucose_threshold,75,Insulin,0.0019027230460704956,171
blood_to_liver_glucose_threshold,76,Insulin,0.0019027230460704956,172
blood_to_liver_glucose_threshold,77,Insulin,0.0019027230460704956,173
blood_to_liver_glucose_threshold,78,Insulin,0.0019027230460704956,174
blood_to_liver_glucose_threshold,79,Insulin,0.0019027230460704956,175
blood_to_liver_glucose_threshold,80,Insulin,0.0019027230460704956,176
blood_to_liver_glucose_threshold,81,Insulin,0.0019027230460704956,177
blood_to_liver_glucose_threshold,82,Insulin,0.0019027230460704956,178
blood_to_liver_glucose_threshold,83,Insulin,0.0019027230460704956,179
blood_to_liver_glucose_threshold,84,Insulin,0.0019027230460704956,180
blood_to_liver_glucose_threshold,85,Insulin,0.0019027230460704956,181
blood_to_liver_glucose_threshold,86,Insulin,0.0019027230460704956,182
blood_to_liver_glucose_threshold,87,Insulin,0.0019027230460704956,183
blood_to_liver_glucose_threshold,88,Insulin,0.0019027230460704956,184
blood_to_liver_glucose_threshold,89,Insulin,0.0019027230460704956,185
blood_to_liver_glucose_threshold,62,INH,0.0018325364512033855,186
blood_to_liver_glucose_threshold,71,FSH,0.0018201004866684343,187
blood_to_liver_glucose_threshold,89,E2,0.001762687124665502,188
blood_to_liver_glucose_threshold,56,INH,0.0017577836319131168,189
blood_to_liver_glucose_threshold,71,E2,0.0016008816586722545,190
blood_to_liver_glucose_threshold,65,FSH,0.0015742170549497628,191
blood_to_liver_glucose_threshold,63,E2,0.0015583622704160342,192
blood_to_liver_glucose_threshold,74,PGF,0.0015525930142179806,193
blood_to_liver_glucose_threshold,89,IGF1,0.001543545505069696,194
blood_to_liver_glucose_threshold,70,IGF1,0.001508063177954172,195
blood_to_liver_glucose_threshold,80,E2,0.0014800328283621747,196
blood_to_liver_glucose_threshold,58,PGF,0.0013409442544970443,197
blood_to_liver_glucose_threshold,59,E2,0.0013401981851551145,198
blood_to_liver_glucose_threshold,66,FSH,0.0012915137936895828,199
blood_to_liver_glucose_threshold,61,INH,0.0012847856451479456,200
blood_to_liver_glucose_threshold,62,P4,0.0012722539843534346,201
blood_to_liver_glucose_threshold,67,FSH,0.0012249436049673835,202
blood_to_liver_glucose_threshold,63,INH,0.0012129537829375565,203
blood_to_liver_glucose_threshold,73,FSH,0.0011860521012860593,204
blood_to_liver_glucose_threshold,70,INH,0.0011658841724617854,205
blood_to_liver_glucose_threshold,79,INH,0.0011401536142470303,206
blood_to_liver_glucose_threshold,80,INH,0.0010818271811711404,207
blood_to_liver_glucose_threshold,71,IGF1,0.0010705022155772428,208
blood_to_liver_glucose_threshold,61,P4,0.0010679774752877652,209
blood_to_liver_glucose_threshold,62,FSH,0.0010415099920194906,210
blood_to_liver_glucose_threshold,61,FSH,0.0010324979583980467,211
blood_to_liver_glucose_threshold,63,P4,0.0009990412330688025,212
blood_to_liver_glucose_threshold,61,E2,0.00098482736636385,213
blood_to_liver_glucose_threshold,81,FSH,0.000915534629723812,214
blood_to_liver_glucose_threshold,85,FSH,0.0008652475794126833,215
blood_to_liver_glucose_threshold,60,E2,0.0008503836893393375,216
blood_to_liver_glucose_threshold,78,INH,0.0008454635435018524,217
blood_to_liver_glucose_threshold,76,E2,0.000793141660170477,218
blood_to_liver_glucose_threshold,60,INH,0.0007878867556456429,219
blood_to_liver_glucose_threshold,60,FSH,0.000774620162336538,220
blood_to_liver_glucose_threshold,89,PGF,0.0007730495065766483,221
blood_to_liver_glucose_threshold,72,IGF1,0.0007726474821048783,222
blood_to_liver_glucose_threshold,83,IGF1,0.0007670393375512452,223
blood_to_liver_glucose_threshold,55,INH,0.0007160215723493056,224
blood_to_liver_glucose_threshold,66,E2,0.000697475454565322,225
blood_to_liver_glucose_threshold,79,PGF,0.0006911491523305455,226
blood_to_liver_glucose_threshold,85,PGF,0.0006891769141032004,227
blood_to_liver_glucose_threshold,86,PGF,0.0006867808438344187,228
blood_to_liver_glucose_threshold,60,P4,0.0006747665447246743,229
blood_to_liver_glucose_threshold,79,E2,0.0006687783952147935,230
blood_to_liver_glucose_threshold,78,PGF,0.0006667135359852885,231
blood_to_liver_glucose_threshold,87,PGF,0.0006651331514518014,232
blood_to_liver_glucose_threshold,84,PGF,0.0006592555556263938,233
blood_to_liver_glucose_threshold,77,E2,0.0006516420214554123,234
blood_to_liver_glucose_threshold,67,E2,0.0006419487596378957,235
blood_to_liver_glucose_threshold,88,PGF,0.0006346249518686802,236
blood_to_liver_glucose_threshold,77,PGF,0.0006299085415751935,237
blood_to_liver_glucose_threshold,75,E2,0.0006048615684026547,238
blood_to_liver_glucose_threshold,83,PGF,0.0006036111872025807,239
blood_to_liver_glucose_threshold,59,PGF,0.0005945542417411276,240
blood_to_liver_glucose_threshold,73,IGF1,0.0005800087585203738,241
blood_to_liver_glucose_threshold,67,P4,0.0005757629766273341,242
blood_to_liver_glucose_threshold,84,INH,0.0005664071305602026,243
blood_to_liver_glucose_threshold,80,FSH,0.0005533912300039054,244
blood_to_liver_glucose_threshold,66,P4,0.0005375101050549185,245
blood_to_liver_glucose_threshold,64,P4,0.000529115142516005,246
blood_to_liver_glucose_threshold,59,INH,0.00048630658952502877,247
blood_to_liver_glucose_threshold,68,E2,0.0004847748955700374,248
blood_to_liver_glucose_threshold,76,FSH,0.0004837418440484206,249
blood_to_liver_glucose_threshold,82,PGF,0.0004560352055481169,250
blood_to_liver_glucose_threshold,74,IGF1,0.0004546868819982045,251
blood_to_liver_glucose_threshold,78,FSH,0.00044174892345110784,252
blood_to_liver_glucose_threshold,57,FSH,0.00042548645146633636,253
blood_to_liver_glucose_threshold,82,IGF1,0.00042219983204698784,254
blood_to_liver_glucose_threshold,81,INH,0.00042078444592360284,255
blood_to_liver_glucose_threshold,71,INH,0.0004122952986888494,256
blood_to_liver_glucose_threshold,76,PGF,0.000404025872222483,257
blood_to_liver_glucose_threshold,86,INH,0.0003961691991556122,258
blood_to_liver_glucose_threshold,75,IGF1,0.00037875947342503387,259
blood_to_liver_glucose_threshold,54,IGF1,0.0003746058478848693,260
blood_to_liver_glucose_threshold,79,FSH,0.0003626944204120395,261
blood_to_liver_glucose_threshold,68,P4,0.00035814360091320673,262
blood_to_liver_glucose_threshold,65,P4,0.0003500313950309841,263
blood_to_liver_glucose_threshold,57,PGF,0.00034886173371729553,264
blood_to_liver_glucose_threshold,76,IGF1,0.00033136185473338874,265
blood_to_liver_glucose_threshold,69,E2,0.0003298817781900557,266
blood_to_liver_glucose_threshold,55,IGF1,0.00032860320190271445,267
blood_to_liver_glucose_threshold,56,PGF,0.0003283192968708606,268
blood_to_liver_glucose_threshold,55,PGF,0.0003065613880840332,269
blood_to_liver_glucose_threshold,77,IGF1,0.0003001254353938133,270
blood_to_liver_glucose_threshold,56,IGF1,0.0002988673709761603,271
blood_to_liver_glucose_threshold,55,FSH,0.00029749163171970355,272
blood_to_liver_glucose_threshold,54,PGF,0.0002936372995779877,273
blood_to_liver_glucose_threshold,60,PGF,0.0002920927430573759,274
blood_to_liver_glucose_threshold,86,P4,0.0002854291464464411,275
blood_to_liver_glucose_threshold,86,E2,0.00028473207105077274,276
blood_to_liver_glucose_threshold,78,IGF1,0.00028012238347217074,277
blood_to_liver_glucose_threshold,57,IGF1,0.00027886337133196866,278
blood_to_liver_glucose_threshold,54,INH,0.00027475898687506935,279
blood_to_liver_glucose_threshold,79,IGF1,0.00026638010522439076,280
blood_to_liver_glucose_threshold,58,IGF1,0.0002658624360851442,281
blood_to_liver_glucose_threshold,59,IGF1,0.00025734568358757914,282
blood_to_liver_glucose_threshold,80,IGF1,0.00025733544046334714,283
blood_to_liver_glucose_threshold,81,IGF1,0.0002514692174323628,284
blood_to_liver_glucose_threshold,69,P4,0.0002437226330403966,285
blood_to_liver_glucose_threshold,85,P4,0.0002253304913375565,286
blood_to_liver_glucose_threshold,83,INH,0.0002063252577289877,287
blood_to_liver_glucose_threshold,84,E2,0.00020437725006876623,288
blood_to_liver_glucose_threshold,70,E2,0.00020060505308201214,289
blood_to_liver_glucose_threshold,78,E2,0.00020015781722042527,290
blood_to_liver_glucose_threshold,81,PGF,0.00018524709978800727,291
blood_to_liver_glucose_threshold,70,P4,0.0001771514132389111,292
blood_to_liver_glucose_threshold,72,PGF,0.00017391214301804733,293
blood_to_liver_glucose_threshold,71,PGF,0.00017203503856132619,294
blood_to_liver_glucose_threshold,86,FSH,0.00017088538359164487,295
