scenario,description,parameter,prior_median,posterior_median,prior_90_width,posterior_90_width,interval_reduction_fraction,final_epsilon,final_particles
gsa_uncertainty_guided,"GSA + uncertainty guided: E2 d64, E2 d66, E2 d86, E2 d87, E2 d88, FSH d62, FSH d71, FSH d78, FSH d80",insulin_glucose_threshold,0.49992503297664365,0.4884098877801263,0.04499020415972066,0.046533109485283164,-0.034294250368035684,0.38803569486353046,2500
gsa_uncertainty_guided,"GSA + uncertainty guided: E2 d64, E2 d66, E2 d86, E2 d87, E2 d88, FSH d62, FSH d71, FSH d78, FSH d80",inhibin_clearance,0.47501419837676173,0.4885022623494001,0.042709557745251925,0.03862313686982621,0.09567930672098812,0.38803569486353046,2500
gsa_uncertainty_guided,"GSA + uncertainty guided: E2 d64, E2 d66, E2 d86, E2 d87, E2 d88, FSH d62, FSH d71, FSH d78, FSH d80",hp_p4_follicle_scale,1.1000615121832023,1.1210776551785544,0.09892970060211281,0.09469926873843115,0.04276200006604802,0.38803569486353046,2500
gsa_uncertainty_guided,"GSA + uncertainty guided: E2 d64, E2 d66, E2 d86, E2 d87, E2 d88, FSH d62, FSH d71, FSH d78, FSH d80",blood_to_liver_glucose_threshold,0.4499489017871994,0.4524489097731597,0.04042927251442624,0.03985900261789982,0.014105371209015338,0.38803569486353046,2500
gsa_uncertainty_guided,"GSA + uncertainty guided: E2 d64, E2 d66, E2 d86, E2 d87, E2 d88, FSH d62, FSH d71, FSH d78, FSH d80",gnrh_clearance,1.6301310730628726,1.631863274004175,0.14679630219367357,0.14640731917166594,0.002649814853608712,0.38803569486353046,2500
gsa_uncertainty_guided,"GSA + uncertainty guided: E2 d64, E2 d66, E2 d86, E2 d87, E2 d88, FSH d62, FSH d71, FSH d78, FSH d80",hp_iof_threshold,1.8198467438656287,1.8192067046998188,0.16381622142398866,0.16292383981280167,0.0054474557124433165,0.38803569486353046,2500
gsa_uncertainty_guided,"GSA + uncertainty guided: E2 d64, E2 d66, E2 d86, E2 d87, E2 d88, FSH d62, FSH d71, FSH d78, FSH d80",insulin_igf_threshold,15.007110527186743,14.998599912020635,1.3490788348546818,1.3446499854289655,0.0032828692521837954,0.38803569486353046,2500
gsa_uncertainty_guided,"GSA + uncertainty guided: E2 d64, E2 d66, E2 d86, E2 d87, E2 d88, FSH d62, FSH d71, FSH d78, FSH d80",feed_direct_blood_fraction,0.07999997626633726,0.08005701330777984,0.007202420746582061,0.007137934434720272,0.008953421930035232,0.38803569486353046,2500
gsa_uncertainty_guided,"GSA + uncertainty guided: E2 d64, E2 d66, E2 d86, E2 d87, E2 d88, FSH d62, FSH d71, FSH d78, FSH d80",lh_basal_release,0.01409954623203555,0.014073020428097988,0.0012659147656591558,0.0012715890890670108,-0.004482389779931539,0.38803569486353046,2500
independent_1_Insulin_day_65,Independent observation scenario 1: Insulin,insulin_glucose_threshold,0.49992503297664365,0.48078231814046724,0.04499020415972066,0.01565922027026151,0.651941560107854,0.23055700578577226,2500
independent_1_Insulin_day_65,Independent observation scenario 1: Insulin,inhibin_clearance,0.47501419837676173,0.47545567035599384,0.042709557745251925,0.04350773813642611,-0.01868856605669067,0.23055700578577226,2500
independent_1_Insulin_day_65,Independent observation scenario 1: Insulin,hp_p4_follicle_scale,1.1000615121832023,1.0997457856728865,0.09892970060211281,0.09873261526243082,0.0019921756407071944,0.23055700578577226,2500
independent_1_Insulin_day_65,Independent observation scenario 1: Insulin,blood_to_liver_glucose_threshold,0.4499489017871994,0.4563130296552814,0.04042927251442624,0.03893887627971071,0.03686428525726548,0.23055700578577226,2500
independent_1_Insulin_day_65,Independent observation scenario 1: Insulin,gnrh_clearance,1.6301310730628726,1.6333822855163147,0.14679630219367357,0.1467251445128701,0.0004847375563287182,0.23055700578577226,2500
independent_1_Insulin_day_65,Independent observation scenario 1: Insulin,hp_iof_threshold,1.8198467438656287,1.8208428459101955,0.16381622142398866,0.16067501185802158,0.01917520462053035,0.23055700578577226,2500
independent_1_Insulin_day_65,Independent observation scenario 1: Insulin,insulin_igf_threshold,15.007110527186743,15.008289785766799,1.3490788348546818,1.3633977237365205,-0.010613826643704583,0.23055700578577226,2500
independent_1_Insulin_day_65,Independent observation scenario 1: Insulin,feed_direct_blood_fraction,0.07999997626633726,0.08003384676682339,0.007202420746582061,0.007241698257333104,-0.005453376320688097,0.23055700578577226,2500
independent_1_Insulin_day_65,Independent observation scenario 1: Insulin,lh_basal_release,0.01409954623203555,0.014083765585542956,0.0012659147656591558,0.0012689147875657152,-0.0023698451016940236,0.23055700578577226,2500
independent_2_Glucose_day_65,Independent observation scenario 2: Glucose,insulin_glucose_threshold,0.49992503297664365,0.49965775343231333,0.04499020415972066,0.04417915341323425,0.01802727419522432,0.07451258463131057,2500
independent_2_Glucose_day_65,Independent observation scenario 2: Glucose,inhibin_clearance,0.47501419837676173,0.47483194223612674,0.042709557745251925,0.042614311769459956,0.0022300857424016884,0.07451258463131057,2500
independent_2_Glucose_day_65,Independent observation scenario 2: Glucose,hp_p4_follicle_scale,1.1000615121832023,1.0982360591689957,0.09892970060211281,0.09889378305426622,0.00036306132160512927,0.07451258463131057,2500
independent_2_Glucose_day_65,Independent observation scenario 2: Glucose,blood_to_liver_glucose_threshold,0.4499489017871994,0.4514273383757133,0.04042927251442624,0.040206433741250325,0.005511817535089225,0.07451258463131057,2500
independent_2_Glucose_day_65,Independent observation scenario 2: Glucose,gnrh_clearance,1.6301310730628726,1.6288433993511697,0.14679630219367357,0.14840082303755264,-0.010930253827253544,0.07451258463131057,2500
