biomarker,parameter,spearman_rho,abs_spearman_rho,p_value,samples
FSH,gnrh_hypo_max,0.017156090874586107,0.017156090874586107,0.12795253831155312,7874
FSH,gnrh_syn,-0.015868679231663897,0.015868679231663897,0.1591366182800314,7874
FSH,gnrh_release_scale,0.0008197731547308157,0.0008197731547308157,0.942019785395865,7874
FSH,hm_e2_1_threshold,-0.01139524137784281,0.01139524137784281,0.3119994685070822,7874
FSH,hm_p4_1_threshold,-0.005294861900472412,0.005294861900472412,0.6385184590242037,7874
FSH,hm_p4_2_scale,0.020522025393503104,0.020522025393503104,0.0686165709728147,7874
FSH,hm_p4_2_threshold,0.019985882473769992,0.019985882473769992,0.07617005509994186,7874
FSH,hp_e2_1_scale,0.018628101888430858,0.018628101888430858,0.098360159898003,7874
FSH,hp_e2_1_threshold,-0.0030390473858070855,0.0030390473858070855,0.7874453895641644,7874
FSH,gnrh_clearance,0.002132248135278268,0.002132248135278268,0.8499545533071158,7874
FSH,fsh_syn_scale,0.10571358881947077,0.10571358881947077,5.181829449512807e-21,7874
FSH,hm_ih_2_threshold,0.07987082495853948,0.07987082495853948,1.2694368072986744e-12,7874
FSH,hp_p4_fsh_scale,-0.0008354041235067403,0.0008354041235067403,0.9409162552329446,7874
FSH,hp_p4_fsh_threshold,0.003734581066641161,0.003734581066641161,0.7403886670167089,7874
FSH,hm_e2_fsh_scale,-0.027853054905834004,0.027853054905834004,0.013449353080289021,7874
FSH,hm_e2_fsh_threshold,0.020081322840876888,0.020081322840876888,0.0747779001112254,7874
FSH,hp_gnrh_fsh_scale,-0.0011826204044223395,0.0011826204044223395,0.9164362238634942,7874
FSH,hp_gnrh_fsh_threshold,-0.013567661220616969,0.013567661220616969,0.22866754301304645,7874
FSH,fsh_clearance,-0.14221907394102995,0.14221907394102995,7.403131525524169e-37,7874
FSH,fsh_basal_release,-0.06110687735553524,0.06110687735553524,5.744936001077809e-08,7874
FSH,hp_e2_lh_scale,0.002369053466576144,0.002369053466576144,0.8335223409418346,7874
FSH,hp_e2_lh_threshold,0.020364377382562537,0.020364377382562537,0.07077086308641295,7874
FSH,hm_p4_lh_scale,-0.011135173027182258,0.011135173027182258,0.323172437049148,7874
FSH,hm_p4_lh_threshold,-0.001737984015606216,0.001737984015606216,0.8774547065746141,7874
FSH,hp_gnrh_lh_scale,-0.022304473111132716,0.022304473111132716,0.04780115464521576,7874
FSH,hp_gnrh_lh_threshold,-0.004338472277363104,0.004338472277363104,0.7002985633763046,7874
FSH,lh_basal_release,-0.014914753877290108,0.014914753877290108,0.18572481052997822,7874
FSH,lh_clearance,0.03256788055613091,0.03256788055613091,0.00384951463347494,7874
FSH,hp_fsh_follicle_scale,-0.5206386081193106,0.5206386081193106,0.0,7874
FSH,hp_fsh_follicle_threshold,0.3690585207580872,0.3690585207580872,1.2603708672230363e-252,7874
FSH,hm_follicle_threshold,0.1400048544449638,0.1400048544449638,9.24811882927472e-36,7874
FSH,hp_p4_follicle_scale,0.293744450244527,0.293744450244527,1.7177558252717003e-156,7874
FSH,hp_p4_follicle_threshold,-0.09288667961054842,0.09288667961054842,1.470176939804788e-16,7874
FSH,hp_lh_follicle_scale,-0.036480737093426065,0.036480737093426065,0.0012049642008113118,7874
FSH,hp_lh_follicle_threshold,-0.011900388274511375,0.011900388274511375,0.2910333793991381,7874
FSH,hp_enz_pg_scale,-0.03875709014696383,0.03875709014696383,0.0005819753195364351,7874
FSH,hp_enz_pg_threshold,0.006877897300979169,0.006877897300979169,0.5417131645648446,7874
FSH,hp_oxt_pg_threshold,0.0796672618632627,0.0796672618632627,1.447266503420984e-12,7874
FSH,pg_clearance,-0.007454439312379439,0.007454439312379439,0.5083699087501737,7874
FSH,cl_formation_scale,-0.04970140083861909,0.04970140083861909,1.0227428613470303e-05,7874
FSH,hp_cl_self_scale,-0.06311003296691017,0.06311003296691017,2.0849251782811208e-08,7874
FSH,hp_cl_self_threshold,0.0021244602919367993,0.0021244602919367993,0.850496110888335,7874
FSH,hp_iof_scale,0.003557231073284644,0.003557231073284644,0.7523032652087208,7874
FSH,hp_iof_threshold,0.001884886357713417,0.001884886357713417,0.8671890446116581,7874
FSH,cl_to_p4_scale,0.02652109919414628,0.02652109919414628,0.018602363599769457,7874
FSH,p4_clearance,-0.1196611219007006,0.1196611219007006,1.6557695216931143e-26,7874
FSH,p4_baseline,0.0521644694930623,0.0521644694930623,3.6344405273292502e-06,7874
FSH,follicle_to_e2_scale,-0.04595198690308469,0.04595198690308469,4.5213749532602694e-05,7874
FSH,e2_clearance,0.06280280277200306,0.06280280277200306,2.4405124832002783e-08,7874
FSH,follicle_to_inhibin_scale,-0.0862033391309015,0.0862033391309015,1.825566954009654e-14,7874
FSH,inhibin_clearance,0.02893424511977099,0.02893424511977099,0.010239744325745726,7874
FSH,hp_p4_enz_scale,-0.02047992450319486,0.02047992450319486,0.06918654577196957,7874
FSH,hp_p4_enz_threshold,-0.0009775105166753913,0.0009775105166753913,0.9308891542807616,7874
FSH,enz_clearance,0.0019331705587255776,0.0019331705587255776,0.863819699847143,7874
FSH,hp_e2_oxt_scale,-0.0633224838446556,0.0633224838446556,1.8690126667208443e-08,7874
FSH,hp_e2_oxt_threshold,0.07227590240554242,0.07227590240554242,1.3553972287343793e-10,7874
FSH,oxt_clearance,0.03526888746835746,0.03526888746835746,0.0017475785115245693,7874
FSH,lactation_oxt_scale,0.0032400043568754006,0.0032400043568754006,0.7737611069000753,7874
FSH,fat_mobilization_storage_threshold,0.00020073710860467515,0.00020073710860467515,0.9857906725561694,7874
FSH,lactation_oxt_decay,0.015551495801944626,0.015551495801944626,0.16763743166843387,7874
FSH,hp_pg_iof_scale,0.008809466411950552,0.008809466411950552,0.4344473274764066,7874
FSH,hp_pg_iof_threshold,0.021279135435506507,0.021279135435506507,0.059008495341180654,7874
FSH,hp_cl_iof_threshold,0.010123191864100699,0.010123191864100699,0.3690962468865009,7874
FSH,iof_clearance,-0.02720671248004203,0.02720671248004203,0.01576692494299227,7874
FSH,hm_p4_igf_scale,-0.003868744266167017,0.003868744266167017,0.7314164256494504,7874
FSH,hm_p4_igf_threshold,-0.00678063456668245,0.00678063456668245,0.5474438837656154,7874
FSH,igf_clearance,0.027472133582651513,0.027472133582651513,0.014775791584968528,7874
FSH,igf_basal_release,-0.02508183489310674,0.02508183489310674,0.026037803385158712,7874
FSH,igf_lh_sensitivity_scale,0.024300405572595364,0.024300405572595364,0.031061324512298146,7874
FSH,igf_lh_sensitivity_threshold,0.032330867910839146,0.032330867910839146,0.004115215364201399,7874
FSH,insulin_fsh_scale,0.0836865832312952,0.0836865832312952,1.0233985734601804e-13,7874
FSH,insulin_fsh_threshold,-0.08800933367716264,0.08800933367716264,5.137378741663671e-15,7874
FSH,insulin_lh_scale,-0.0068014797749155415,0.0068014797749155415,0.5462131641832695,7874
FSH,insulin_lh_threshold,0.02236488132161061,0.02236488132161061,0.04720085879256989,7874
FSH,insulin_igf_scale,-0.012535180970756904,0.012535180970756904,0.266059291119561,7874
FSH,insulin_igf_threshold,0.0219075683558878,0.0219075683558878,0.05190690338903365,7874
FSH,feed_direct_blood_fraction,-0.0027667653551271248,0.0027667653551271248,0.8060910080014636,7874
FSH,fat_to_liver_max,-0.009045718504445906,0.009045718504445906,0.422225684129963,7874
FSH,storage_to_liver_threshold,-0.00037897913715661944,0.00037897913715661944,0.9731773115877584,7874
FSH,storage_to_liver_max,-0.0017868304028116706,0.0017868304028116706,0.8740389037789177,7874
FSH,milk_storage_threshold,0.00011983890622351111,0.00011983890622351111,0.9915168241934527,7874
FSH,liver_to_storage_max,-0.006117675902157584,0.006117675902157584,0.587285207134951,7874
FSH,blood_to_liver_glucose_threshold,0.05258292612834613,0.05258292612834613,3.0345933489277447e-06,7874
FSH,glucagon_secretion_max,0.021552300676894846,0.021552300676894846,0.05582824040751917,7874
FSH,glucagon_clearance,-0.02342523269372717,0.02342523269372717,0.03765354361002098,7874
FSH,glucagon_glucose_threshold,0.03682862381413101,0.03682862381413101,0.0010808151451872354,7874
FSH,hepatic_glucose_release,0.010169901643886562,0.010169901643886562,0.3668911528366464,7874
FSH,blood_to_liver_max,0.008347302485584388,0.008347302485584388,0.4589372909430208,7874
FSH,milk_fat_threshold,0.009585301007670235,0.009585301007670235,0.395079631242231,7874
FSH,storage_fat_threshold,-0.008889143516717959,0.008889143516717959,0.43030286081232894,7874
FSH,insulin_glucose_threshold,-0.3920953414787743,0.3920953414787743,1.0416232101548193e-287,7874
FSH,blood_usage_glucose_threshold,0.2099903624034474,0.2099903624034474,3.4768341338773515e-79,7874
FSH,blood_usage_max,-0.03405162376238393,0.03405162376238393,0.0025112168180361754,7874
FSH,liver_usage_rate,-0.0013408083068215033,0.0013408083068215033,0.9053082001401993,7874
FSH,milk_glucose_requirement,0.0047846615469924044,0.0047846615469924044,0.6711978101398924,7874
FSH,insulin_secretion_max,0.051568943674840044,0.051568943674840044,4.687275976416056e-06,7874
FSH,insulin_clearance,-0.054849582029261504,0.054849582029261504,1.1159719452611601e-06,7874
FSH,fat_glucose_transfer_threshold,0.021938221059702567,0.021938221059702567,0.05157964032002325,7874
PGF,gnrh_hypo_max,0.0025361971663622643,0.0025361971663622643,0.8219672054845958,7874
PGF,gnrh_syn,0.001721924186591806,0.001721924186591806,0.8785782639217165,7874
PGF,gnrh_release_scale,-0.013704009082916703,0.013704009082916703,0.224024168374246,7874
PGF,hm_e2_1_threshold,0.016240810407092438,0.016240810407092438,0.14958364486082185,7874
PGF,hm_p4_1_threshold,-0.00042350339384256765,0.00042350339384256765,0.9700274601110375,7874
PGF,hm_p4_2_scale,-0.016234422904149105,0.016234422904149105,0.14974384347358435,7874
PGF,hm_p4_2_threshold,0.012493506163063084,0.012493506163063084,0.2676521786206454,7874
PGF,hp_e2_1_scale,-0.01821091511895664,0.01821091511895664,0.10613037678460527,7874
PGF,hp_e2_1_threshold,0.030426062952904332,0.030426062952904332,0.006932483927053333,7874
PGF,gnrh_clearance,0.014540420906309201,0.014540420906309201,0.1970104631100624,7874
PGF,fsh_syn_scale,-0.017521259923021622,0.017521259923021622,0.12003389505917966,7874
PGF,hm_ih_2_threshold,-0.0018894404812936692,0.0018894404812936692,0.866871146913243,7874
PGF,hp_p4_fsh_scale,-0.03683399126536478,0.03683399126536478,0.0010789958766028829,7874
PGF,hp_p4_fsh_threshold,0.005528964431496148,0.005528964431496148,0.6237506823741044,7874
PGF,hm_e2_fsh_scale,-0.0313387148048089,0.0313387148048089,0.005417504231274475,7874
