biomarker,parameter,prcc,abs_prcc,samples
FSH,gnrh_hypo_max,0.013223423748731632,0.013223423748731632,7874
FSH,gnrh_syn,0.04221197937802018,0.04221197937802018,7874
FSH,gnrh_release_scale,0.0035250338380907473,0.0035250338380907473,7874
FSH,hm_e2_1_threshold,0.0016369291353834738,0.0016369291353834738,7874
FSH,hm_p4_1_threshold,-0.008810948260659838,0.008810948260659838,7874
FSH,hm_p4_2_scale,0.020548303108093614,0.020548303108093614,7874
FSH,hm_p4_2_threshold,-0.0012965556961376282,0.0012965556961376282,7874
FSH,hp_e2_1_scale,0.057088245807805436,0.057088245807805436,7874
FSH,hp_e2_1_threshold,-0.08706993616223316,0.08706993616223316,7874
FSH,gnrh_clearance,-0.01869570303470925,0.01869570303470925,7874
FSH,fsh_syn_scale,0.46136506394309906,0.46136506394309906,7874
FSH,hm_ih_2_threshold,0.4466605604045016,0.4466605604045016,7874
FSH,hp_p4_fsh_scale,-0.010244289571632282,0.010244289571632282,7874
FSH,hp_p4_fsh_threshold,0.00040493655478102743,0.00040493655478102743,7874
FSH,hm_e2_fsh_scale,-0.05240053132930064,0.05240053132930064,7874
FSH,hm_e2_fsh_threshold,-0.004644836840552743,0.004644836840552743,7874
FSH,hp_gnrh_fsh_scale,0.0006489415469106283,0.0006489415469106283,7874
FSH,hp_gnrh_fsh_threshold,0.01007327913392386,0.01007327913392386,7874
FSH,fsh_clearance,-0.5049850695044117,0.5049850695044117,7874
FSH,fsh_basal_release,-0.092785295247333,0.092785295247333,7874
FSH,hp_e2_lh_scale,0.011884744507345023,0.011884744507345023,7874
FSH,hp_e2_lh_threshold,-0.014303740344470735,0.014303740344470735,7874
FSH,hm_p4_lh_scale,0.022276816903607194,0.022276816903607194,7874
FSH,hm_p4_lh_threshold,0.028424746837349375,0.028424746837349375,7874
FSH,hp_gnrh_lh_scale,0.031465928618513106,0.031465928618513106,7874
FSH,hp_gnrh_lh_threshold,-0.05791281339262507,0.05791281339262507,7874
FSH,lh_basal_release,0.00010134573458495115,0.00010134573458495115,7874
FSH,lh_clearance,0.009199075041141213,0.009199075041141213,7874
FSH,hp_fsh_follicle_scale,-0.8913115146195116,0.8913115146195116,7874
FSH,hp_fsh_follicle_threshold,0.7869155594630354,0.7869155594630354,7874
FSH,hm_follicle_threshold,0.563545161814045,0.563545161814045,7874
FSH,hp_p4_follicle_scale,0.8062259936379371,0.8062259936379371,7874
FSH,hp_p4_follicle_threshold,-0.23261049378821233,0.23261049378821233,7874
FSH,hp_lh_follicle_scale,0.032489983860256415,0.032489983860256415,7874
FSH,hp_lh_follicle_threshold,-0.0032752350389837984,0.0032752350389837984,7874
FSH,hp_enz_pg_scale,-0.025257170037852435,0.025257170037852435,7874
FSH,hp_enz_pg_threshold,0.005568564716255725,0.005568564716255725,7874
FSH,hp_oxt_pg_threshold,0.16428664887107636,0.16428664887107636,7874
FSH,pg_clearance,0.004996202812562676,0.004996202812562676,7874
FSH,cl_formation_scale,-0.09700695779886784,0.09700695779886784,7874
FSH,hp_cl_self_scale,-0.14966752359474061,0.14966752359474061,7874
FSH,hp_cl_self_threshold,-0.017711234855083895,0.017711234855083895,7874
FSH,hp_iof_scale,0.0025546615229950945,0.0025546615229950945,7874
FSH,hp_iof_threshold,0.00013133944585233035,0.00013133944585233035,7874
