parameter,prior_90_width,posterior_90_width,interval_reduction_fraction,biomarkers,method,source_file,computational_cost,interpretation,posterior_median,scenario
hp_p4_follicle_scale,0.0989321295836376,0.093828696299655,0.0515851958859138,INH|Insulin|FSH|E2|IGF1|P4|PGF,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_p4_follicle_scale,0.0989321295836376,0.0937910797373431,0.0519654218293988,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_p4_follicle_scale,0.0989321295836376,0.0937916747840046,0.0519594071336271,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose|Glucagon,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
blood_to_liver_glucose_threshold,0.0404292738221117,0.0404261313406267,7.772787358850675e-05,Glucose,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
blood_to_liver_glucose_threshold,0.0404292738221117,0.040428628307282,1.5966520508947646e-05,Glucose|Glucagon,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
blood_to_liver_glucose_threshold,0.0404292738221117,0.0398248999885753,0.0149489163766725,Glucose|Glucagon|INH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
blood_to_liver_glucose_threshold,0.0404292738221117,0.039297869282582,0.0279847850967547,Glucose|Glucagon|INH|E2,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
blood_to_liver_glucose_threshold,0.0404292738221117,0.0392147190248752,0.0300414695198446,Glucose|Glucagon|INH|E2|IGF1,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
blood_to_liver_glucose_threshold,0.0404292738221117,0.0389929048826814,0.0355279430877296,Glucose|Glucagon|INH|E2|IGF1|Insulin,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
blood_to_liver_glucose_threshold,0.0404292738221117,0.0389929065901787,0.0355279008535476,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
blood_to_liver_glucose_threshold,0.0404292738221117,0.0389261904318927,0.0371780951800538,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
blood_to_liver_glucose_threshold,0.0404292738221117,0.03892618665349,0.0371781886371556,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4|PGF,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
gnrh_clearance,0.1467965234599322,0.1466580474713668,0.0009433192646637,Insulin,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
gnrh_clearance,0.1467965234599322,0.1464331107289382,0.0024756221906926,Insulin|IGF1,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
gnrh_clearance,0.1467965234599322,0.1463348020464943,0.0031453157238015,Insulin|IGF1|INH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
gnrh_clearance,0.1467965234599322,0.1409551365594896,0.039792406269328,Insulin|IGF1|INH|E2,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
gnrh_clearance,0.1467965234599322,0.1409551636975774,0.0397922214005916,Insulin|IGF1|INH|E2|Glucose,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
gnrh_clearance,0.1467965234599322,0.1431272927094184,0.0249953518246311,Insulin|IGF1|INH|E2|Glucose|FSH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
gnrh_clearance,0.1467965234599322,0.1453371253578754,0.0099416394043901,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
gnrh_clearance,0.1467965234599322,0.1453372641995689,0.0099406935938887,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
gnrh_clearance,0.1467965234599322,0.1456141169696321,0.0080547308780295,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4|PGF,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_iof_threshold,0.1638213698077923,0.1639103047250343,-0.0005428773874023,P4,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_iof_threshold,0.1638213698077923,0.1638638863086343,-0.0002595296382386,P4|IGF1,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_iof_threshold,0.1638213698077923,0.1638842905165523,-0.0003840812027986,P4|IGF1|Glucagon,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_iof_threshold,0.1638213698077923,0.1645920243421863,-0.0047042369093734,P4|IGF1|Glucagon|E2,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_iof_threshold,0.1638213698077923,0.1645927525733939,-0.0047086821853983,P4|IGF1|Glucagon|E2|Glucose,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_iof_threshold,0.1638213698077923,0.1645727162851813,-0.0045863764798845,P4|IGF1|Glucagon|E2|Glucose|PGF,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_iof_threshold,0.1638213698077923,0.1644283449208985,-0.0037051033929107,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_iof_threshold,0.1638213698077923,0.1641371094352586,-0.0019273409069688,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
hp_iof_threshold,0.1638213698077923,0.1672772919840739,-0.0210956737838066,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH|FSH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_igf_threshold,1.3491993865863687,1.353605171977902,-0.0032654813182806,IGF1,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_igf_threshold,1.3491993865863687,1.35344880004933,-0.003149581526058,IGF1|Insulin,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
