parameter,sensitivity_0to1,nullspace_0to1,identifiable_0to1,recommendation_3class,scenario_label
hp_lh_follicle_threshold,5.067313232824314e-05,0.030087523763220107,0.9995472653244196,Fix (irrelevant),Fix candidate: low sensitivity
milk_storage_threshold,7.846656609254581e-10,0.9999999999998638,5.211393379412869e-07,Fix (irrelevant),Fix candidate: low sensitivity
milk_fat_threshold,6.040890243878525e-10,0.9999999999997164,7.523247949794618e-07,Fix (irrelevant),Fix candidate: low sensitivity
lactation_oxt_scale,0.0,1.0,2.7739843626589647e-15,Fix (irrelevant),Fix candidate: low sensitivity
lactation_oxt_decay,0.0,0.9999999999999998,1.2694761750096164e-15,Fix (irrelevant),Fix candidate: low sensitivity
fat_glucose_transfer_threshold,0.0,0.9999999999999996,0.0,Fix (irrelevant),Fix candidate: low sensitivity
fat_mobilization_storage_threshold,0.0,0.9999999999999994,2.2132383395314832e-15,Fix (irrelevant),Fix candidate: low sensitivity
fat_to_liver_max,0.0,0.9999999999999994,3.5432475040181135e-18,Fix (irrelevant),Fix candidate: low sensitivity
storage_to_liver_threshold,0.0,0.9999999999999994,5.717156742574702e-18,Fix (irrelevant),Fix candidate: low sensitivity
milk_glucose_requirement,0.0,0.9999999999999993,0.0,Fix (irrelevant),Fix candidate: low sensitivity
