parameter,biomarker,candidate_day,uncertainty_metric,MI_proxy_or_MI,rank
hp_iof_threshold,P4,60,0.449001158763767,9.577850039624906e-06,4
hp_iof_threshold,P4,82,0.4636260576261428,9.307707073169984e-06,5
hp_iof_threshold,PGF,60,0.6096578143811606,0.0006899690975547441,1
hp_iof_threshold,PGF,82,0.7699542439487603,0.0001375152940213417,2
hp_iof_threshold,PGF,83,0.2464063858896353,0.0001266636130431835,3
hp_iof_threshold,PGF,81,1.5214996855601544,0.00010439219701147162,4
hp_iof_threshold,PGF,59,0.649591604639191,4.024988962180599e-05,5
insulin_igf_threshold,E2,87,0.5382416771608612,0.0007116592018291927,1
insulin_igf_threshold,E2,88,0.4179419221085571,0.00047294188805168194,2
insulin_igf_threshold,E2,66,0.3633519298761595,0.000302738630006582,3
insulin_igf_threshold,E2,64,0.4674183931600136,0.00016792160411243677,4
insulin_igf_threshold,E2,86,0.638038927130741,1.6205621900258687e-06,5
insulin_igf_threshold,IGF1,84,0.0938054287278092,0.014311665507772619,1
insulin_igf_threshold,IGF1,66,0.098709527231753,0.012602406576664553,2
insulin_igf_threshold,IGF1,88,0.1109951508424615,0.006515450038011964,3
insulin_igf_threshold,IGF1,83,0.1496001570731074,0.0013956649657087769,4
insulin_igf_threshold,IGF1,61,0.1201453628699467,0.00048141326879309735,5
insulin_igf_threshold,INH,65,0.3585652596987829,0.0006680776707998063,1
insulin_igf_threshold,INH,88,0.3991576534660278,0.0006440731451756622,2
insulin_igf_threshold,INH,66,0.3188894614955997,0.000556699657097921,3
insulin_igf_threshold,INH,64,0.4054193887425583,0.00011267748339644012,4
insulin_igf_threshold,INH,86,0.5788942358904803,6.032918983429616e-07,5
feed_direct_blood_fraction,FSH,71,0.7286914244550808,0.00015430095284279234,1
feed_direct_blood_fraction,FSH,80,0.7749220434350099,0.00013037840764685698,2
feed_direct_blood_fraction,FSH,62,0.7000381878027417,9.150389719038586e-05,3
feed_direct_blood_fraction,FSH,84,0.8283151925780393,4.403605860315495e-06,4
feed_direct_blood_fraction,FSH,78,0.7443807953438114,6.758144406599124e-08,5
feed_direct_blood_fraction,Glucose,61,0.0246090781246542,1.9714265917572445e-05,1
feed_direct_blood_fraction,Glucose,63,0.0246090781246541,1.9714265917572445e-05,2
feed_direct_blood_fraction,Glucose,66,0.0246090781246541,1.9714265917572445e-05,3
feed_direct_blood_fraction,Glucose,70,0.0246090781246542,1.9714265917572445e-05,4
feed_direct_blood_fraction,Glucose,82,0.0246090781246541,1.9714265917572445e-05,5
feed_direct_blood_fraction,INH,65,0.3585652596987829,0.0030273730111181683,1
feed_direct_blood_fraction,INH,66,0.3188894614955997,0.0006384437215123021,2
feed_direct_blood_fraction,INH,64,0.4054193887425583,0.0006310381200518406,3
feed_direct_blood_fraction,INH,88,0.3991576534660278,0.000579629728127906,4
feed_direct_blood_fraction,INH,86,0.5788942358904803,0.0001915351755632532,5
lh_basal_release,Glucagon,54,18.231121136297716,0.0015069285141015736,1
lh_basal_release,Glucagon,59,18.23112113672808,0.0015069285141015736,2
lh_basal_release,Glucagon,60,18.231121136297773,0.0015069285141015736,3
lh_basal_release,Glucagon,81,18.231121136297872,0.0015069285141015736,4
lh_basal_release,Glucagon,87,18.23112113629776,0.0015069285141015736,5
lh_basal_release,IGF1,61,0.1201453628699467,0.002391038735114967,1
lh_basal_release,IGF1,84,0.0938054287278092,0.002246314162630077,2
lh_basal_release,IGF1,83,0.1496001570731074,0.0020738777414826015,3
lh_basal_release,IGF1,66,0.098709527231753,0.00019597706066939357,4
lh_basal_release,IGF1,88,0.1109951508424615,9.018386009122369e-06,5
lh_basal_release,INH,65,0.3585652596987829,0.0008365631238248269,1
lh_basal_release,INH,86,0.5788942358904803,0.0003252594993748811,2
lh_basal_release,INH,64,0.4054193887425583,0.00023555342206534524,3
lh_basal_release,INH,66,0.3188894614955997,2.9136612599158822e-05,4
lh_basal_release,INH,88,0.3991576534660278,1.5166863049027475e-07,5
