biomarker,day,q05,median,q95,interval_width,samples
FSH,55,0.2511961978813931,0.34479049226691516,0.4554703787851681,0.20427418090377503,7874
FSH,56,0.9684922110645614,1.1759440820044427,1.353797070370412,0.3853048593058507,7874
FSH,57,1.742527692364305,1.8431454146732924,1.89552918268238,0.15300149031807497,7874
FSH,58,1.1723881651267067,1.3700383762725483,1.5757041581865607,0.403315993059854,7874
FSH,59,0.382310409638149,0.4788894912691308,0.617418862097754,0.235108452459605,7874
FSH,60,0.13969707322700933,0.1578274749055795,0.19284246341118771,0.05314539018417838,7874
FSH,61,0.16992936032431347,0.2197614890302264,0.28810103286704797,0.1181716725427345,7874
FSH,62,0.6579613504198,0.8420966471239895,1.0173960939685551,0.35943474354875515,7874
FSH,63,1.465779973585916,1.5788086541613704,1.6125226383954487,0.14674266480953269,7874
FSH,64,0.8408551977882838,0.9675454005509531,1.1208917190098777,0.28003652122159395,7874
FSH,65,0.20072370197313838,0.2794832118104635,0.4000344386493277,0.19931073667618932,7874
FSH,66,0.02973976942886732,0.0439243309911853,0.06799503622210536,0.03825526679323804,7874
FSH,67,0.00370388501108147,0.005492144494685399,0.008828002020244965,0.0051241170091634956,7874
FSH,68,0.001541006821909435,0.0018234023503323,0.00262499963239203,0.001083992810482595,7874
FSH,69,0.00613549382114277,0.01215766755076775,0.022014620781012788,0.015879126959870017,7874
FSH,70,0.05861922940115565,0.11462279371050424,0.19791133237252506,0.1392921029713694,7874
FSH,71,0.43591847852355703,0.690306495681569,0.9520259568959661,0.5161074783724091,7874
FSH,72,1.3450846643856158,1.6123334145298445,1.80026981078045,0.4551851463948342,7874
FSH,73,1.6980171058444453,1.8642592796856965,1.909024268031307,0.21100716218686166,7874
FSH,74,0.6786776868754929,0.9168637835276661,1.2455535543449126,0.5668758674694196,7874
FSH,75,0.20527826266597118,0.28187070031442635,0.41393258992775517,0.20865432726178398,7874
FSH,76,0.1260370269230888,0.13366235299384385,0.14912224520298906,0.02308521827990026,7874
FSH,77,0.24969196921219597,0.4005128020333407,0.5934290319404045,0.3437370627282086,7874
FSH,78,0.9637713849922699,1.2657223479597428,1.5125148547045444,0.5487434697122745,7874
FSH,79,1.7395382768886825,1.8572267657328927,1.891098037790141,0.1515597609014585,7874
FSH,80,0.9777540339562196,1.2640454325369865,1.579184747788155,0.6014307138319355,7874
FSH,81,0.30557960271454254,0.4254416688037786,0.6209793114874178,0.31539970877287526,7874
FSH,82,0.13222595352879024,0.14755214180600745,0.19413219509955046,0.06190624157076022,7874
FSH,83,0.16997960903438417,0.2517180936551062,0.3758151567256278,0.20583554769124365,7874
FSH,84,0.6551352328659776,0.9285472021596971,1.1785792036616918,0.5234439707957141,7874
FSH,85,1.4602600465711812,1.5687324247004668,1.6049908557202843,0.14473080914910308,7874
FSH,86,0.6968364801196217,0.9041255648144028,1.1262099836486164,0.4293735035289946,7874
FSH,87,0.14447008958713065,0.2365490557839193,0.4041243445026686,0.25965425491553795,7874
FSH,88,0.02041301642661234,0.03608440926892765,0.06883269127590398,0.04841967484929165,7874
FSH,89,0.0026530123887769,0.0044792017877678,0.008947451205534704,0.006294438816757804,7874
FSH,90,0.00154768674803174,0.0020163959079029002,0.0036770817577602244,0.0021293950097284846,7874
PGF,55,0.009116984922224366,0.01211838832884635,0.016141716648462034,0.007024731726237668,7874
PGF,56,0.002685877095674095,0.00358430627865715,0.004783537695471074,0.002097660599796979,7874
PGF,57,0.000784110529175245,0.0010476630727337,0.0013975862243646847,0.0006134756951894397,7874
PGF,58,0.00028780582798328504,0.00042524467353795,0.00108235793163502,0.0007945521036517349,7874
PGF,59,0.073352779439116,0.2786350826078263,0.7039523028831738,0.6305995234440578,7874
PGF,60,1.093436203381751,1.3691891510671903,1.662864122767891,0.56942791938614,7874
PGF,61,0.32208259433733255,0.4114613415134729,0.5460635890404012,0.22398099470306865,7874
PGF,62,0.09414283381864871,0.12027770370477164,0.15971222771552426,0.06556939389687555,7874
