state,dose_day,dexa_min,dexa_max,no_dexa_min,no_dexa_max,max_abs_difference,time_of_max_abs_difference
Glucose,0.0,0.4618982271324633,0.7254486908243943,0.47614015,0.47643930084658104,0.24903580192100466,0.6875
Insulin,0.0,12.465739418202432,39.06023445878855,15.20754495,15.266794989895992,23.79867498434775,0.6875
Glucagon,0.0,104.84469434955108,279.345958430077,104.8349841240569,105.0,174.50704214140632,1.0208333333333333
P4,0.0,0.004,0.4352507450902523,0.004,0.4242319138749432,0.01101883121530911,3.0
IGF1,0.0,0.321407264229224,0.5916899311771266,0.3275484385510875,0.5166132961858299,0.07773587396542503,1.0416666666666665
A_dep,0.0,7.971862780549881e-11,12000000.0,,,,0.0
A_cent,0.0,0.0,5764939.113231441,,,,0.14583333333333331
C_e,0.0,0.0,2.08828952922662,,,,0.75
