scenario,description,parameter,prior_median,posterior_median,prior_90_width,posterior_90_width,interval_reduction_fraction,final_epsilon,final_particles
guided_insulin_glucose_threshold,"insulin_glucose_threshold: Insulin d58, Glucose d61, E2 d87",insulin_glucose_threshold,0.49992503297664365,0.48140215780579837,0.04499020415972066,0.013579286557798553,0.6981723730439087,0.37197313296374196,2500
guided_inhibin_clearance,"inhibin_clearance: Insulin d58, E2 d64, P4 d80",inhibin_clearance,0.47501419837676173,0.48848738466902347,0.042709557745251925,0.031663015864476896,0.2586433216345605,0.4370837431776451,2500
guided_hp_p4_follicle_scale,"hp_p4_follicle_scale: PGF d60, FSH d62, INH d65",hp_p4_follicle_scale,1.1000615121832023,1.1213351746678029,0.09892970060211281,0.08864924460655099,0.10391678063303733,0.2692897575787464,2500
guided_blood_to_liver_glucose_threshold,"blood_to_liver_glucose_threshold: Glucose d61, Insulin d58, Glucagon d54",blood_to_liver_glucose_threshold,0.4499489017871994,0.4560551543794506,0.04042927251442624,0.0369805393363678,0.0853028749609046,0.5216941876344368,2500
guided_gnrh_clearance,"gnrh_clearance: INH d64, E2 d64, Insulin d58",gnrh_clearance,1.6301310730628726,1.6310276143050044,0.14679630219367357,0.14641827207142177,0.0025752019403938453,0.48758790741106617,2500
guided_hp_iof_threshold,"hp_iof_threshold: PGF d60, P4 d81, Glucagon d54",hp_iof_threshold,1.8198467438656287,1.8166806722921767,0.16381622142398866,0.16308024391072196,0.004492702290830208,0.1980263396824369,2500
guided_insulin_igf_threshold,"insulin_igf_threshold: IGF1 d84, INH d65, E2 d87",insulin_igf_threshold,15.007110527186743,15.022895380669054,1.3490788348546818,1.3491410973220823,-4.6151837677532725e-05,0.22735992450277195,2500
guided_feed_direct_blood_fraction,"feed_direct_blood_fraction: INH d65, Glucose d61, FSH d71",feed_direct_blood_fraction,0.07999997626633726,0.08013343163905354,0.007202420746582061,0.0071756992490619315,0.0037100717189856303,0.39912209304446045,2500
guided_lh_basal_release,"lh_basal_release: Glucagon d54, INH d65, IGF1 d61",lh_basal_release,0.01409954623203555,0.014077747274277581,0.0012659147656591558,0.001266200328799311,-0.00022557848909077194,0.43324614617552004,2500
