parameter,original_best_day,enriched_best_day,same_best_day,original_best_score,enriched_best_score
insulin_glucose_threshold,72,65,False,0.8501804580935101,0.6205741506308775
inhibin_clearance,56,65,False,0.6536162364968929,0.5758207552361383
hp_p4_follicle_scale,61,65,False,0.3038494842372176,0.4304886118895313
blood_to_liver_glucose_threshold,57,65,False,0.028983489765972613,0.07923317930518022
gnrh_clearance,74,62,False,0.0026189754030058582,0.010180268889491405
hp_iof_threshold,70,69,False,0.002200255608265798,0.007698774680289186
insulin_igf_threshold,65,65,True,0.012861419587128727,0.024470006807370666
feed_direct_blood_fraction,58,64,False,0.0032914446802689056,0.008270959271335025
lh_basal_release,88,62,False,0.002107350521689461,0.008844875307142178
