candidate,columns
IGF1_cumulative_to_day_70,IGF1_day_55|IGF1_day_56|IGF1_day_57|IGF1_day_58|IGF1_day_59|IGF1_day_60|IGF1_day_61|IGF1_day_62|IGF1_day_63|IGF1_day_64|IGF1_day_65|IGF1_day_66|IGF1_day_67|IGF1_day_68|IGF1_day_69|IGF1_day_70
Insulin_cumulative_to_day_70,Insulin_day_55|Insulin_day_56|Insulin_day_57|Insulin_day_58|Insulin_day_59|Insulin_day_60|Insulin_day_61|Insulin_day_62|Insulin_day_63|Insulin_day_64|Insulin_day_65|Insulin_day_66|Insulin_day_67|Insulin_day_68|Insulin_day_69|Insulin_day_70
Glucose_cumulative_to_day_70,Glucose_day_55|Glucose_day_56|Glucose_day_57|Glucose_day_58|Glucose_day_59|Glucose_day_60|Glucose_day_61|Glucose_day_62|Glucose_day_63|Glucose_day_64|Glucose_day_65|Glucose_day_66|Glucose_day_67|Glucose_day_68|Glucose_day_69|Glucose_day_70
Glucagon_cumulative_to_day_70,Glucagon_day_55|Glucagon_day_56|Glucagon_day_57|Glucagon_day_58|Glucagon_day_59|Glucagon_day_60|Glucagon_day_61|Glucagon_day_62|Glucagon_day_63|Glucagon_day_64|Glucagon_day_65|Glucagon_day_66|Glucagon_day_67|Glucagon_day_68|Glucagon_day_69|Glucagon_day_70
PGF_E2_FSH_INH_cumulative_to_day_70,PGF_day_55|E2_day_55|FSH_day_55|INH_day_55|PGF_day_56|E2_day_56|FSH_day_56|INH_day_56|PGF_day_57|E2_day_57|FSH_day_57|INH_day_57|PGF_day_58|E2_day_58|FSH_day_58|INH_day_58|PGF_day_59|E2_day_59|FSH_day_59|INH_day_59|PGF_day_60|E2_day_60|FSH_day_60|INH_day_60|PGF_day_61|E2_day_61|FSH_day_61|INH_day_61|PGF_day_62|E2_day_62|FSH_day_62|INH_day_62|PGF_day_63|E2_day_63|FSH_day_63|INH_day_63|PGF_day_64|E2_day_64|FSH_day_64|INH_day_64|PGF_day_65|E2_day_65|FSH_day_65|INH_day_65|PGF_day_66|E2_day_66|FSH_day_66|INH_day_66|PGF_day_67|E2_day_67|FSH_day_67|INH_day_67|PGF_day_68|E2_day_68|FSH_day_68|INH_day_68|PGF_day_69|E2_day_69|FSH_day_69|INH_day_69|PGF_day_70|E2_day_70|FSH_day_70|INH_day_70
PGF_E2_FSH_cumulative_to_day_70,PGF_day_55|E2_day_55|FSH_day_55|PGF_day_56|E2_day_56|FSH_day_56|PGF_day_57|E2_day_57|FSH_day_57|PGF_day_58|E2_day_58|FSH_day_58|PGF_day_59|E2_day_59|FSH_day_59|PGF_day_60|E2_day_60|FSH_day_60|PGF_day_61|E2_day_61|FSH_day_61|PGF_day_62|E2_day_62|FSH_day_62|PGF_day_63|E2_day_63|FSH_day_63|PGF_day_64|E2_day_64|FSH_day_64|PGF_day_65|E2_day_65|FSH_day_65|PGF_day_66|E2_day_66|FSH_day_66|PGF_day_67|E2_day_67|FSH_day_67|PGF_day_68|E2_day_68|FSH_day_68|PGF_day_69|E2_day_69|FSH_day_69|PGF_day_70|E2_day_70|FSH_day_70
PGF_E2_cumulative_to_day_70,PGF_day_55|E2_day_55|PGF_day_56|E2_day_56|PGF_day_57|E2_day_57|PGF_day_58|E2_day_58|PGF_day_59|E2_day_59|PGF_day_60|E2_day_60|PGF_day_61|E2_day_61|PGF_day_62|E2_day_62|PGF_day_63|E2_day_63|PGF_day_64|E2_day_64|PGF_day_65|E2_day_65|PGF_day_66|E2_day_66|PGF_day_67|E2_day_67|PGF_day_68|E2_day_68|PGF_day_69|E2_day_69|PGF_day_70|E2_day_70
all_species_cumulative_to_day_71,FSH_day_55|PGF_day_55|P4_day_55|E2_day_55|INH_day_55|IGF1_day_55|Insulin_day_55|Glucose_day_55|Glucagon_day_55|FSH_day_56|PGF_day_56|P4_day_56|E2_day_56|INH_day_56|IGF1_day_56|Insulin_day_56|Glucose_day_56|Glucagon_day_56|FSH_day_57|PGF_day_57|P4_day_57|E2_day_57|INH_day_57|IGF1_day_57|Insulin_day_57|Glucose_day_57|Glucagon_day_57|FSH_day_58|PGF_day_58|P4_day_58|E2_day_58|INH_day_58|IGF1_day_58|Insulin_day_58|Glucose_day_58|Glucagon_day_58|FSH_day_59|PGF_day_59|P4_day_59|E2_day_59|INH_day_59|IGF1_day_59|Insulin_day_59|Glucose_day_59|Glucagon_day_59|FSH_day_60|PGF_day_60|P4_day_60|E2_day_60|INH_day_60|IGF1_day_60|Insulin_day_60|Glucose_day_60|Glucagon_day_60|FSH_day_61|PGF_day_61|P4_day_61|E2_day_61|INH_day_61|IGF1_day_61|Insulin_day_61|Glucose_day_61|Glucagon_day_61|FSH_day_62|PGF_day_62|P4_day_62|E2_day_62|INH_day_62|IGF1_day_62|Insulin_day_62|Glucose_day_62|Glucagon_day_62|FSH_day_63|PGF_day_63|P4_day_63|E2_day_63|INH_day_63|IGF1_day_63|Insulin_day_63|Glucose_day_63|Glucagon_day_63|FSH_day_64|PGF_day_64|P4_day_64|E2_day_64|INH_day_64|IGF1_day_64|Insulin_day_64|Glucose_day_64|Glucagon_day_64|FSH_day_65|PGF_day_65|P4_day_65|E2_day_65|INH_day_65|IGF1_day_65|Insulin_day_65|Glucose_day_65|Glucagon_day_65|FSH_day_66|PGF_day_66|P4_day_66|E2_day_66|INH_day_66|IGF1_day_66|Insulin_day_66|Glucose_day_66|Glucagon_day_66|FSH_day_67|PGF_day_67|P4_day_67|E2_day_67|INH_day_67|IGF1_day_67|Insulin_day_67|Glucose_day_67|Glucagon_day_67|FSH_day_68|PGF_day_68|P4_day_68|E2_day_68|INH_day_68|IGF1_day_68|Insulin_day_68|Glucose_day_68|Glucagon_day_68|FSH_day_69|PGF_day_69|P4_day_69|E2_day_69|INH_day_69|IGF1_day_69|Insulin_day_69|Glucose_day_69|Glucagon_day_69|FSH_day_70|PGF_day_70|P4_day_70|E2_day_70|INH_day_70|IGF1_day_70|Insulin_day_70|Glucose_day_70|Glucagon_day_70|FSH_day_71|PGF_day_71|P4_day_71|E2_day_71|INH_day_71|IGF1_day_71|Insulin_day_71|Glucose_day_71|Glucagon_day_71
FSH_cumulative_to_day_71,FSH_day_55|FSH_day_56|FSH_day_57|FSH_day_58|FSH_day_59|FSH_day_60|FSH_day_61|FSH_day_62|FSH_day_63|FSH_day_64|FSH_day_65|FSH_day_66|FSH_day_67|FSH_day_68|FSH_day_69|FSH_day_70|FSH_day_71
PGF_cumulative_to_day_71,PGF_day_55|PGF_day_56|PGF_day_57|PGF_day_58|PGF_day_59|PGF_day_60|PGF_day_61|PGF_day_62|PGF_day_63|PGF_day_64|PGF_day_65|PGF_day_66|PGF_day_67|PGF_day_68|PGF_day_69|PGF_day_70|PGF_day_71
P4_cumulative_to_day_71,P4_day_55|P4_day_56|P4_day_57|P4_day_58|P4_day_59|P4_day_60|P4_day_61|P4_day_62|P4_day_63|P4_day_64|P4_day_65|P4_day_66|P4_day_67|P4_day_68|P4_day_69|P4_day_70|P4_day_71
E2_cumulative_to_day_71,E2_day_55|E2_day_56|E2_day_57|E2_day_58|E2_day_59|E2_day_60|E2_day_61|E2_day_62|E2_day_63|E2_day_64|E2_day_65|E2_day_66|E2_day_67|E2_day_68|E2_day_69|E2_day_70|E2_day_71
INH_cumulative_to_day_71,INH_day_55|INH_day_56|INH_day_57|INH_day_58|INH_day_59|INH_day_60|INH_day_61|INH_day_62|INH_day_63|INH_day_64|INH_day_65|INH_day_66|INH_day_67|INH_day_68|INH_day_69|INH_day_70|INH_day_71
IGF1_cumulative_to_day_71,IGF1_day_55|IGF1_day_56|IGF1_day_57|IGF1_day_58|IGF1_day_59|IGF1_day_60|IGF1_day_61|IGF1_day_62|IGF1_day_63|IGF1_day_64|IGF1_day_65|IGF1_day_66|IGF1_day_67|IGF1_day_68|IGF1_day_69|IGF1_day_70|IGF1_day_71
Insulin_cumulative_to_day_71,Insulin_day_55|Insulin_day_56|Insulin_day_57|Insulin_day_58|Insulin_day_59|Insulin_day_60|Insulin_day_61|Insulin_day_62|Insulin_day_63|Insulin_day_64|Insulin_day_65|Insulin_day_66|Insulin_day_67|Insulin_day_68|Insulin_day_69|Insulin_day_70|Insulin_day_71
Glucose_cumulative_to_day_71,Glucose_day_55|Glucose_day_56|Glucose_day_57|Glucose_day_58|Glucose_day_59|Glucose_day_60|Glucose_day_61|Glucose_day_62|Glucose_day_63|Glucose_day_64|Glucose_day_65|Glucose_day_66|Glucose_day_67|Glucose_day_68|Glucose_day_69|Glucose_day_70|Glucose_day_71
Glucagon_cumulative_to_day_71,Glucagon_day_55|Glucagon_day_56|Glucagon_day_57|Glucagon_day_58|Glucagon_day_59|Glucagon_day_60|Glucagon_day_61|Glucagon_day_62|Glucagon_day_63|Glucagon_day_64|Glucagon_day_65|Glucagon_day_66|Glucagon_day_67|Glucagon_day_68|Glucagon_day_69|Glucagon_day_70|Glucagon_day_71
PGF_E2_FSH_INH_cumulative_to_day_71,PGF_day_55|E2_day_55|FSH_day_55|INH_day_55|PGF_day_56|E2_day_56|FSH_day_56|INH_day_56|PGF_day_57|E2_day_57|FSH_day_57|INH_day_57|PGF_day_58|E2_day_58|FSH_day_58|INH_day_58|PGF_day_59|E2_day_59|FSH_day_59|INH_day_59|PGF_day_60|E2_day_60|FSH_day_60|INH_day_60|PGF_day_61|E2_day_61|FSH_day_61|INH_day_61|PGF_day_62|E2_day_62|FSH_day_62|INH_day_62|PGF_day_63|E2_day_63|FSH_day_63|INH_day_63|PGF_day_64|E2_day_64|FSH_day_64|INH_day_64|PGF_day_65|E2_day_65|FSH_day_65|INH_day_65|PGF_day_66|E2_day_66|FSH_day_66|INH_day_66|PGF_day_67|E2_day_67|FSH_day_67|INH_day_67|PGF_day_68|E2_day_68|FSH_day_68|INH_day_68|PGF_day_69|E2_day_69|FSH_day_69|INH_day_69|PGF_day_70|E2_day_70|FSH_day_70|INH_day_70|PGF_day_71|E2_day_71|FSH_day_71|INH_day_71
PGF_E2_FSH_cumulative_to_day_71,PGF_day_55|E2_day_55|FSH_day_55|PGF_day_56|E2_day_56|FSH_day_56|PGF_day_57|E2_day_57|FSH_day_57|PGF_day_58|E2_day_58|FSH_day_58|PGF_day_59|E2_day_59|FSH_day_59|PGF_day_60|E2_day_60|FSH_day_60|PGF_day_61|E2_day_61|FSH_day_61|PGF_day_62|E2_day_62|FSH_day_62|PGF_day_63|E2_day_63|FSH_day_63|PGF_day_64|E2_day_64|FSH_day_64|PGF_day_65|E2_day_65|FSH_day_65|PGF_day_66|E2_day_66|FSH_day_66|PGF_day_67|E2_day_67|FSH_day_67|PGF_day_68|E2_day_68|FSH_day_68|PGF_day_69|E2_day_69|FSH_day_69|PGF_day_70|E2_day_70|FSH_day_70|PGF_day_71|E2_day_71|FSH_day_71
PGF_E2_cumulative_to_day_71,PGF_day_55|E2_day_55|PGF_day_56|E2_day_56|PGF_day_57|E2_day_57|PGF_day_58|E2_day_58|PGF_day_59|E2_day_59|PGF_day_60|E2_day_60|PGF_day_61|E2_day_61|PGF_day_62|E2_day_62|PGF_day_63|E2_day_63|PGF_day_64|E2_day_64|PGF_day_65|E2_day_65|PGF_day_66|E2_day_66|PGF_day_67|E2_day_67|PGF_day_68|E2_day_68|PGF_day_69|E2_day_69|PGF_day_70|E2_day_70|PGF_day_71|E2_day_71
all_species_cumulative_to_day_72,FSH_day_55|PGF_day_55|P4_day_55|E2_day_55|INH_day_55|IGF1_day_55|Insulin_day_55|Glucose_day_55|Glucagon_day_55|FSH_day_56|PGF_day_56|P4_day_56|E2_day_56|INH_day_56|IGF1_day_56|Insulin_day_56|Glucose_day_56|Glucagon_day_56|FSH_day_57|PGF_day_57|P4_day_57|E2_day_57|INH_day_57|IGF1_day_57|Insulin_day_57|Glucose_day_57|Glucagon_day_57|FSH_day_58|PGF_day_58|P4_day_58|E2_day_58|INH_day_58|IGF1_day_58|Insulin_day_58|Glucose_day_58|Glucagon_day_58|FSH_day_59|PGF_day_59|P4_day_59|E2_day_59|INH_day_59|IGF1_day_59|Insulin_day_59|Glucose_day_59|Glucagon_day_59|FSH_day_60|PGF_day_60|P4_day_60|E2_day_60|INH_day_60|IGF1_day_60|Insulin_day_60|Glucose_day_60|Glucagon_day_60|FSH_day_61|PGF_day_61|P4_day_61|E2_day_61|INH_day_61|IGF1_day_61|Insulin_day_61|Glucose_day_61|Glucagon_day_61|FSH_day_62|PGF_day_62|P4_day_62|E2_day_62|INH_day_62|IGF1_day_62|Insulin_day_62|Glucose_day_62|Glucagon_day_62|FSH_day_63|PGF_day_63|P4_day_63|E2_day_63|INH_day_63|IGF1_day_63|Insulin_day_63|Glucose_day_63|Glucagon_day_63|FSH_day_64|PGF_day_64|P4_day_64|E2_day_64|INH_day_64|IGF1_day_64|Insulin_day_64|Glucose_day_64|Glucagon_day_64|FSH_day_65|PGF_day_65|P4_day_65|E2_day_65|INH_day_65|IGF1_day_65|Insulin_day_65|Glucose_day_65|Glucagon_day_65|FSH_day_66|PGF_day_66|P4_day_66|E2_day_66|INH_day_66|IGF1_day_66|Insulin_day_66|Glucose_day_66|Glucagon_day_66|FSH_day_67|PGF_day_67|P4_day_67|E2_day_67|INH_day_67|IGF1_day_67|Insulin_day_67|Glucose_day_67|Glucagon_day_67|FSH_day_68|PGF_day_68|P4_day_68|E2_day_68|INH_day_68|IGF1_day_68|Insulin_day_68|Glucose_day_68|Glucagon_day_68|FSH_day_69|PGF_day_69|P4_day_69|E2_day_69|INH_day_69|IGF1_day_69|Insulin_day_69|Glucose_day_69|Glucagon_day_69|FSH_day_70|PGF_day_70|P4_day_70|E2_day_70|INH_day_70|IGF1_day_70|Insulin_day_70|Glucose_day_70|Glucagon_day_70|FSH_day_71|PGF_day_71|P4_day_71|E2_day_71|INH_day_71|IGF1_day_71|Insulin_day_71|Glucose_day_71|Glucagon_day_71|FSH_day_72|PGF_day_72|P4_day_72|E2_day_72|INH_day_72|IGF1_day_72|Insulin_day_72|Glucose_day_72|Glucagon_day_72
FSH_cumulative_to_day_72,FSH_day_55|FSH_day_56|FSH_day_57|FSH_day_58|FSH_day_59|FSH_day_60|FSH_day_61|FSH_day_62|FSH_day_63|FSH_day_64|FSH_day_65|FSH_day_66|FSH_day_67|FSH_day_68|FSH_day_69|FSH_day_70|FSH_day_71|FSH_day_72
PGF_cumulative_to_day_72,PGF_day_55|PGF_day_56|PGF_day_57|PGF_day_58|PGF_day_59|PGF_day_60|PGF_day_61|PGF_day_62|PGF_day_63|PGF_day_64|PGF_day_65|PGF_day_66|PGF_day_67|PGF_day_68|PGF_day_69|PGF_day_70|PGF_day_71|PGF_day_72
P4_cumulative_to_day_72,P4_day_55|P4_day_56|P4_day_57|P4_day_58|P4_day_59|P4_day_60|P4_day_61|P4_day_62|P4_day_63|P4_day_64|P4_day_65|P4_day_66|P4_day_67|P4_day_68|P4_day_69|P4_day_70|P4_day_71|P4_day_72
E2_cumulative_to_day_72,E2_day_55|E2_day_56|E2_day_57|E2_day_58|E2_day_59|E2_day_60|E2_day_61|E2_day_62|E2_day_63|E2_day_64|E2_day_65|E2_day_66|E2_day_67|E2_day_68|E2_day_69|E2_day_70|E2_day_71|E2_day_72
INH_cumulative_to_day_72,INH_day_55|INH_day_56|INH_day_57|INH_day_58|INH_day_59|INH_day_60|INH_day_61|INH_day_62|INH_day_63|INH_day_64|INH_day_65|INH_day_66|INH_day_67|INH_day_68|INH_day_69|INH_day_70|INH_day_71|INH_day_72
IGF1_cumulative_to_day_72,IGF1_day_55|IGF1_day_56|IGF1_day_57|IGF1_day_58|IGF1_day_59|IGF1_day_60|IGF1_day_61|IGF1_day_62|IGF1_day_63|IGF1_day_64|IGF1_day_65|IGF1_day_66|IGF1_day_67|IGF1_day_68|IGF1_day_69|IGF1_day_70|IGF1_day_71|IGF1_day_72
Insulin_cumulative_to_day_72,Insulin_day_55|Insulin_day_56|Insulin_day_57|Insulin_day_58|Insulin_day_59|Insulin_day_60|Insulin_day_61|Insulin_day_62|Insulin_day_63|Insulin_day_64|Insulin_day_65|Insulin_day_66|Insulin_day_67|Insulin_day_68|Insulin_day_69|Insulin_day_70|Insulin_day_71|Insulin_day_72
Glucose_cumulative_to_day_72,Glucose_day_55|Glucose_day_56|Glucose_day_57|Glucose_day_58|Glucose_day_59|Glucose_day_60|Glucose_day_61|Glucose_day_62|Glucose_day_63|Glucose_day_64|Glucose_day_65|Glucose_day_66|Glucose_day_67|Glucose_day_68|Glucose_day_69|Glucose_day_70|Glucose_day_71|Glucose_day_72
Glucagon_cumulative_to_day_72,Glucagon_day_55|Glucagon_day_56|Glucagon_day_57|Glucagon_day_58|Glucagon_day_59|Glucagon_day_60|Glucagon_day_61|Glucagon_day_62|Glucagon_day_63|Glucagon_day_64|Glucagon_day_65|Glucagon_day_66|Glucagon_day_67|Glucagon_day_68|Glucagon_day_69|Glucagon_day_70|Glucagon_day_71|Glucagon_day_72
PGF_E2_FSH_INH_cumulative_to_day_72,PGF_day_55|E2_day_55|FSH_day_55|INH_day_55|PGF_day_56|E2_day_56|FSH_day_56|INH_day_56|PGF_day_57|E2_day_57|FSH_day_57|INH_day_57|PGF_day_58|E2_day_58|FSH_day_58|INH_day_58|PGF_day_59|E2_day_59|FSH_day_59|INH_day_59|PGF_day_60|E2_day_60|FSH_day_60|INH_day_60|PGF_day_61|E2_day_61|FSH_day_61|INH_day_61|PGF_day_62|E2_day_62|FSH_day_62|INH_day_62|PGF_day_63|E2_day_63|FSH_day_63|INH_day_63|PGF_day_64|E2_day_64|FSH_day_64|INH_day_64|PGF_day_65|E2_day_65|FSH_day_65|INH_day_65|PGF_day_66|E2_day_66|FSH_day_66|INH_day_66|PGF_day_67|E2_day_67|FSH_day_67|INH_day_67|PGF_day_68|E2_day_68|FSH_day_68|INH_day_68|PGF_day_69|E2_day_69|FSH_day_69|INH_day_69|PGF_day_70|E2_day_70|FSH_day_70|INH_day_70|PGF_day_71|E2_day_71|FSH_day_71|INH_day_71|PGF_day_72|E2_day_72|FSH_day_72|INH_day_72
PGF_E2_FSH_cumulative_to_day_72,PGF_day_55|E2_day_55|FSH_day_55|PGF_day_56|E2_day_56|FSH_day_56|PGF_day_57|E2_day_57|FSH_day_57|PGF_day_58|E2_day_58|FSH_day_58|PGF_day_59|E2_day_59|FSH_day_59|PGF_day_60|E2_day_60|FSH_day_60|PGF_day_61|E2_day_61|FSH_day_61|PGF_day_62|E2_day_62|FSH_day_62|PGF_day_63|E2_day_63|FSH_day_63|PGF_day_64|E2_day_64|FSH_day_64|PGF_day_65|E2_day_65|FSH_day_65|PGF_day_66|E2_day_66|FSH_day_66|PGF_day_67|E2_day_67|FSH_day_67|PGF_day_68|E2_day_68|FSH_day_68|PGF_day_69|E2_day_69|FSH_day_69|PGF_day_70|E2_day_70|FSH_day_70|PGF_day_71|E2_day_71|FSH_day_71|PGF_day_72|E2_day_72|FSH_day_72
PGF_E2_cumulative_to_day_72,PGF_day_55|E2_day_55|PGF_day_56|E2_day_56|PGF_day_57|E2_day_57|PGF_day_58|E2_day_58|PGF_day_59|E2_day_59|PGF_day_60|E2_day_60|PGF_day_61|E2_day_61|PGF_day_62|E2_day_62|PGF_day_63|E2_day_63|PGF_day_64|E2_day_64|PGF_day_65|E2_day_65|PGF_day_66|E2_day_66|PGF_day_67|E2_day_67|PGF_day_68|E2_day_68|PGF_day_69|E2_day_69|PGF_day_70|E2_day_70|PGF_day_71|E2_day_71|PGF_day_72|E2_day_72
all_species_cumulative_to_day_73,FSH_day_55|PGF_day_55|P4_day_55|E2_day_55|INH_day_55|IGF1_day_55|Insulin_day_55|Glucose_day_55|Glucagon_day_55|FSH_day_56|PGF_day_56|P4_day_56|E2_day_56|INH_day_56|IGF1_day_56|Insulin_day_56|Glucose_day_56|Glucagon_day_56|FSH_day_57|PGF_day_57|P4_day_57|E2_day_57|INH_day_57|IGF1_day_57|Insulin_day_57|Glucose_day_57|Glucagon_day_57|FSH_day_58|PGF_day_58|P4_day_58|E2_day_58|INH_day_58|IGF1_day_58|Insulin_day_58|Glucose_day_58|Glucagon_day_58|FSH_day_59|PGF_day_59|P4_day_59|E2_day_59|INH_day_59|IGF1_day_59|Insulin_day_59|Glucose_day_59|Glucagon_day_59|FSH_day_60|PGF_day_60|P4_day_60|E2_day_60|INH_day_60|IGF1_day_60|Insulin_day_60|Glucose_day_60|Glucagon_day_60|FSH_day_61|PGF_day_61|P4_day_61|E2_day_61|INH_day_61|IGF1_day_61|Insulin_day_61|Glucose_day_61|Glucagon_day_61|FSH_day_62|PGF_day_62|P4_day_62|E2_day_62|INH_day_62|IGF1_day_62|Insulin_day_62|Glucose_day_62|Glucagon_day_62|FSH_day_63|PGF_day_63|P4_day_63|E2_day_63|INH_day_63|IGF1_day_63|Insulin_day_63|Glucose_day_63|Glucagon_day_63|FSH_day_64|PGF_day_64|P4_day_64|E2_day_64|INH_day_64|IGF1_day_64|Insulin_day_64|Glucose_day_64|Glucagon_day_64|FSH_day_65|PGF_day_65|P4_day_65|E2_day_65|INH_day_65|IGF1_day_65|Insulin_day_65|Glucose_day_65|Glucagon_day_65|FSH_day_66|PGF_day_66|P4_day_66|E2_day_66|INH_day_66|IGF1_day_66|Insulin_day_66|Glucose_day_66|Glucagon_day_66|FSH_day_67|PGF_day_67|P4_day_67|E2_day_67|INH_day_67|IGF1_day_67|Insulin_day_67|Glucose_day_67|Glucagon_day_67|FSH_day_68|PGF_day_68|P4_day_68|E2_day_68|INH_day_68|IGF1_day_68|Insulin_day_68|Glucose_day_68|Glucagon_day_68|FSH_day_69|PGF_day_69|P4_day_69|E2_day_69|INH_day_69|IGF1_day_69|Insulin_day_69|Glucose_day_69|Glucagon_day_69|FSH_day_70|PGF_day_70|P4_day_70|E2_day_70|INH_day_70|IGF1_day_70|Insulin_day_70|Glucose_day_70|Glucagon_day_70|FSH_day_71|PGF_day_71|P4_day_71|E2_day_71|INH_day_71|IGF1_day_71|Insulin_day_71|Glucose_day_71|Glucagon_day_71|FSH_day_72|PGF_day_72|P4_day_72|E2_day_72|INH_day_72|IGF1_day_72|Insulin_day_72|Glucose_day_72|Glucagon_day_72|FSH_day_73|PGF_day_73|P4_day_73|E2_day_73|INH_day_73|IGF1_day_73|Insulin_day_73|Glucose_day_73|Glucagon_day_73
FSH_cumulative_to_day_73,FSH_day_55|FSH_day_56|FSH_day_57|FSH_day_58|FSH_day_59|FSH_day_60|FSH_day_61|FSH_day_62|FSH_day_63|FSH_day_64|FSH_day_65|FSH_day_66|FSH_day_67|FSH_day_68|FSH_day_69|FSH_day_70|FSH_day_71|FSH_day_72|FSH_day_73
PGF_cumulative_to_day_73,PGF_day_55|PGF_day_56|PGF_day_57|PGF_day_58|PGF_day_59|PGF_day_60|PGF_day_61|PGF_day_62|PGF_day_63|PGF_day_64|PGF_day_65|PGF_day_66|PGF_day_67|PGF_day_68|PGF_day_69|PGF_day_70|PGF_day_71|PGF_day_72|PGF_day_73
P4_cumulative_to_day_73,P4_day_55|P4_day_56|P4_day_57|P4_day_58|P4_day_59|P4_day_60|P4_day_61|P4_day_62|P4_day_63|P4_day_64|P4_day_65|P4_day_66|P4_day_67|P4_day_68|P4_day_69|P4_day_70|P4_day_71|P4_day_72|P4_day_73
E2_cumulative_to_day_73,E2_day_55|E2_day_56|E2_day_57|E2_day_58|E2_day_59|E2_day_60|E2_day_61|E2_day_62|E2_day_63|E2_day_64|E2_day_65|E2_day_66|E2_day_67|E2_day_68|E2_day_69|E2_day_70|E2_day_71|E2_day_72|E2_day_73
INH_cumulative_to_day_73,INH_day_55|INH_day_56|INH_day_57|INH_day_58|INH_day_59|INH_day_60|INH_day_61|INH_day_62|INH_day_63|INH_day_64|INH_day_65|INH_day_66|INH_day_67|INH_day_68|INH_day_69|INH_day_70|INH_day_71|INH_day_72|INH_day_73
IGF1_cumulative_to_day_73,IGF1_day_55|IGF1_day_56|IGF1_day_57|IGF1_day_58|IGF1_day_59|IGF1_day_60|IGF1_day_61|IGF1_day_62|IGF1_day_63|IGF1_day_64|IGF1_day_65|IGF1_day_66|IGF1_day_67|IGF1_day_68|IGF1_day_69|IGF1_day_70|IGF1_day_71|IGF1_day_72|IGF1_day_73
Insulin_cumulative_to_day_73,Insulin_day_55|Insulin_day_56|Insulin_day_57|Insulin_day_58|Insulin_day_59|Insulin_day_60|Insulin_day_61|Insulin_day_62|Insulin_day_63|Insulin_day_64|Insulin_day_65|Insulin_day_66|Insulin_day_67|Insulin_day_68|Insulin_day_69|Insulin_day_70|Insulin_day_71|Insulin_day_72|Insulin_day_73
Glucose_cumulative_to_day_73,Glucose_day_55|Glucose_day_56|Glucose_day_57|Glucose_day_58|Glucose_day_59|Glucose_day_60|Glucose_day_61|Glucose_day_62|Glucose_day_63|Glucose_day_64|Glucose_day_65|Glucose_day_66|Glucose_day_67|Glucose_day_68|Glucose_day_69|Glucose_day_70|Glucose_day_71|Glucose_day_72|Glucose_day_73
Glucagon_cumulative_to_day_73,Glucagon_day_55|Glucagon_day_56|Glucagon_day_57|Glucagon_day_58|Glucagon_day_59|Glucagon_day_60|Glucagon_day_61|Glucagon_day_62|Glucagon_day_63|Glucagon_day_64|Glucagon_day_65|Glucagon_day_66|Glucagon_day_67|Glucagon_day_68|Glucagon_day_69|Glucagon_day_70|Glucagon_day_71|Glucagon_day_72|Glucagon_day_73
PGF_E2_FSH_INH_cumulative_to_day_73,PGF_day_55|E2_day_55|FSH_day_55|INH_day_55|PGF_day_56|E2_day_56|FSH_day_56|INH_day_56|PGF_day_57|E2_day_57|FSH_day_57|INH_day_57|PGF_day_58|E2_day_58|FSH_day_58|INH_day_58|PGF_day_59|E2_day_59|FSH_day_59|INH_day_59|PGF_day_60|E2_day_60|FSH_day_60|INH_day_60|PGF_day_61|E2_day_61|FSH_day_61|INH_day_61|PGF_day_62|E2_day_62|FSH_day_62|INH_day_62|PGF_day_63|E2_day_63|FSH_day_63|INH_day_63|PGF_day_64|E2_day_64|FSH_day_64|INH_day_64|PGF_day_65|E2_day_65|FSH_day_65|INH_day_65|PGF_day_66|E2_day_66|FSH_day_66|INH_day_66|PGF_day_67|E2_day_67|FSH_day_67|INH_day_67|PGF_day_68|E2_day_68|FSH_day_68|INH_day_68|PGF_day_69|E2_day_69|FSH_day_69|INH_day_69|PGF_day_70|E2_day_70|FSH_day_70|INH_day_70|PGF_day_71|E2_day_71|FSH_day_71|INH_day_71|PGF_day_72|E2_day_72|FSH_day_72|INH_day_72|PGF_day_73|E2_day_73|FSH_day_73|INH_day_73
PGF_E2_FSH_cumulative_to_day_73,PGF_day_55|E2_day_55|FSH_day_55|PGF_day_56|E2_day_56|FSH_day_56|PGF_day_57|E2_day_57|FSH_day_57|PGF_day_58|E2_day_58|FSH_day_58|PGF_day_59|E2_day_59|FSH_day_59|PGF_day_60|E2_day_60|FSH_day_60|PGF_day_61|E2_day_61|FSH_day_61|PGF_day_62|E2_day_62|FSH_day_62|PGF_day_63|E2_day_63|FSH_day_63|PGF_day_64|E2_day_64|FSH_day_64|PGF_day_65|E2_day_65|FSH_day_65|PGF_day_66|E2_day_66|FSH_day_66|PGF_day_67|E2_day_67|FSH_day_67|PGF_day_68|E2_day_68|FSH_day_68|PGF_day_69|E2_day_69|FSH_day_69|PGF_day_70|E2_day_70|FSH_day_70|PGF_day_71|E2_day_71|FSH_day_71|PGF_day_72|E2_day_72|FSH_day_72|PGF_day_73|E2_day_73|FSH_day_73
