candidate,columns
all_species_cumulative_to_day_62,FSH_day_55|PGF_day_55|P4_day_55|E2_day_55|INH_day_55|IGF1_day_55|Insulin_day_55|Glucose_day_55|Glucagon_day_55|FSH_day_56|PGF_day_56|P4_day_56|E2_day_56|INH_day_56|IGF1_day_56|Insulin_day_56|Glucose_day_56|Glucagon_day_56|FSH_day_57|PGF_day_57|P4_day_57|E2_day_57|INH_day_57|IGF1_day_57|Insulin_day_57|Glucose_day_57|Glucagon_day_57|FSH_day_58|PGF_day_58|P4_day_58|E2_day_58|INH_day_58|IGF1_day_58|Insulin_day_58|Glucose_day_58|Glucagon_day_58|FSH_day_59|PGF_day_59|P4_day_59|E2_day_59|INH_day_59|IGF1_day_59|Insulin_day_59|Glucose_day_59|Glucagon_day_59|FSH_day_60|PGF_day_60|P4_day_60|E2_day_60|INH_day_60|IGF1_day_60|Insulin_day_60|Glucose_day_60|Glucagon_day_60|FSH_day_61|PGF_day_61|P4_day_61|E2_day_61|INH_day_61|IGF1_day_61|Insulin_day_61|Glucose_day_61|Glucagon_day_61|FSH_day_62|PGF_day_62|P4_day_62|E2_day_62|INH_day_62|IGF1_day_62|Insulin_day_62|Glucose_day_62|Glucagon_day_62
FSH_cumulative_to_day_62,FSH_day_55|FSH_day_56|FSH_day_57|FSH_day_58|FSH_day_59|FSH_day_60|FSH_day_61|FSH_day_62
PGF_cumulative_to_day_62,PGF_day_55|PGF_day_56|PGF_day_57|PGF_day_58|PGF_day_59|PGF_day_60|PGF_day_61|PGF_day_62
P4_cumulative_to_day_62,P4_day_55|P4_day_56|P4_day_57|P4_day_58|P4_day_59|P4_day_60|P4_day_61|P4_day_62
E2_cumulative_to_day_62,E2_day_55|E2_day_56|E2_day_57|E2_day_58|E2_day_59|E2_day_60|E2_day_61|E2_day_62
INH_cumulative_to_day_62,INH_day_55|INH_day_56|INH_day_57|INH_day_58|INH_day_59|INH_day_60|INH_day_61|INH_day_62
IGF1_cumulative_to_day_62,IGF1_day_55|IGF1_day_56|IGF1_day_57|IGF1_day_58|IGF1_day_59|IGF1_day_60|IGF1_day_61|IGF1_day_62
Insulin_cumulative_to_day_62,Insulin_day_55|Insulin_day_56|Insulin_day_57|Insulin_day_58|Insulin_day_59|Insulin_day_60|Insulin_day_61|Insulin_day_62
Glucose_cumulative_to_day_62,Glucose_day_55|Glucose_day_56|Glucose_day_57|Glucose_day_58|Glucose_day_59|Glucose_day_60|Glucose_day_61|Glucose_day_62
Glucagon_cumulative_to_day_62,Glucagon_day_55|Glucagon_day_56|Glucagon_day_57|Glucagon_day_58|Glucagon_day_59|Glucagon_day_60|Glucagon_day_61|Glucagon_day_62
PGF_E2_FSH_INH_cumulative_to_day_62,PGF_day_55|E2_day_55|FSH_day_55|INH_day_55|PGF_day_56|E2_day_56|FSH_day_56|INH_day_56|PGF_day_57|E2_day_57|FSH_day_57|INH_day_57|PGF_day_58|E2_day_58|FSH_day_58|INH_day_58|PGF_day_59|E2_day_59|FSH_day_59|INH_day_59|PGF_day_60|E2_day_60|FSH_day_60|INH_day_60|PGF_day_61|E2_day_61|FSH_day_61|INH_day_61|PGF_day_62|E2_day_62|FSH_day_62|INH_day_62
PGF_E2_FSH_cumulative_to_day_62,PGF_day_55|E2_day_55|FSH_day_55|PGF_day_56|E2_day_56|FSH_day_56|PGF_day_57|E2_day_57|FSH_day_57|PGF_day_58|E2_day_58|FSH_day_58|PGF_day_59|E2_day_59|FSH_day_59|PGF_day_60|E2_day_60|FSH_day_60|PGF_day_61|E2_day_61|FSH_day_61|PGF_day_62|E2_day_62|FSH_day_62
PGF_E2_cumulative_to_day_62,PGF_day_55|E2_day_55|PGF_day_56|E2_day_56|PGF_day_57|E2_day_57|PGF_day_58|E2_day_58|PGF_day_59|E2_day_59|PGF_day_60|E2_day_60|PGF_day_61|E2_day_61|PGF_day_62|E2_day_62
all_species_cumulative_to_day_63,FSH_day_55|PGF_day_55|P4_day_55|E2_day_55|INH_day_55|IGF1_day_55|Insulin_day_55|Glucose_day_55|Glucagon_day_55|FSH_day_56|PGF_day_56|P4_day_56|E2_day_56|INH_day_56|IGF1_day_56|Insulin_day_56|Glucose_day_56|Glucagon_day_56|FSH_day_57|PGF_day_57|P4_day_57|E2_day_57|INH_day_57|IGF1_day_57|Insulin_day_57|Glucose_day_57|Glucagon_day_57|FSH_day_58|PGF_day_58|P4_day_58|E2_day_58|INH_day_58|IGF1_day_58|Insulin_day_58|Glucose_day_58|Glucagon_day_58|FSH_day_59|PGF_day_59|P4_day_59|E2_day_59|INH_day_59|IGF1_day_59|Insulin_day_59|Glucose_day_59|Glucagon_day_59|FSH_day_60|PGF_day_60|P4_day_60|E2_day_60|INH_day_60|IGF1_day_60|Insulin_day_60|Glucose_day_60|Glucagon_day_60|FSH_day_61|PGF_day_61|P4_day_61|E2_day_61|INH_day_61|IGF1_day_61|Insulin_day_61|Glucose_day_61|Glucagon_day_61|FSH_day_62|PGF_day_62|P4_day_62|E2_day_62|INH_day_62|IGF1_day_62|Insulin_day_62|Glucose_day_62|Glucagon_day_62|FSH_day_63|PGF_day_63|P4_day_63|E2_day_63|INH_day_63|IGF1_day_63|Insulin_day_63|Glucose_day_63|Glucagon_day_63
FSH_cumulative_to_day_63,FSH_day_55|FSH_day_56|FSH_day_57|FSH_day_58|FSH_day_59|FSH_day_60|FSH_day_61|FSH_day_62|FSH_day_63
PGF_cumulative_to_day_63,PGF_day_55|PGF_day_56|PGF_day_57|PGF_day_58|PGF_day_59|PGF_day_60|PGF_day_61|PGF_day_62|PGF_day_63
P4_cumulative_to_day_63,P4_day_55|P4_day_56|P4_day_57|P4_day_58|P4_day_59|P4_day_60|P4_day_61|P4_day_62|P4_day_63
E2_cumulative_to_day_63,E2_day_55|E2_day_56|E2_day_57|E2_day_58|E2_day_59|E2_day_60|E2_day_61|E2_day_62|E2_day_63
INH_cumulative_to_day_63,INH_day_55|INH_day_56|INH_day_57|INH_day_58|INH_day_59|INH_day_60|INH_day_61|INH_day_62|INH_day_63
IGF1_cumulative_to_day_63,IGF1_day_55|IGF1_day_56|IGF1_day_57|IGF1_day_58|IGF1_day_59|IGF1_day_60|IGF1_day_61|IGF1_day_62|IGF1_day_63
Insulin_cumulative_to_day_63,Insulin_day_55|Insulin_day_56|Insulin_day_57|Insulin_day_58|Insulin_day_59|Insulin_day_60|Insulin_day_61|Insulin_day_62|Insulin_day_63
Glucose_cumulative_to_day_63,Glucose_day_55|Glucose_day_56|Glucose_day_57|Glucose_day_58|Glucose_day_59|Glucose_day_60|Glucose_day_61|Glucose_day_62|Glucose_day_63
Glucagon_cumulative_to_day_63,Glucagon_day_55|Glucagon_day_56|Glucagon_day_57|Glucagon_day_58|Glucagon_day_59|Glucagon_day_60|Glucagon_day_61|Glucagon_day_62|Glucagon_day_63
