candidate,columns,n_columns,n_samples,mi_nats
all_species_day_57,FSH_day_57|PGF_day_57|P4_day_57|E2_day_57|INH_day_57|IGF1_day_57|Insulin_day_57|Glucose_day_57|Glucagon_day_57,9,7874,1.063691049045877
all_species_day_76,FSH_day_76|PGF_day_76|P4_day_76|E2_day_76|INH_day_76|IGF1_day_76|Insulin_day_76|Glucose_day_76|Glucagon_day_76,9,7874,1.0622095672556657
all_species_day_56,FSH_day_56|PGF_day_56|P4_day_56|E2_day_56|INH_day_56|IGF1_day_56|Insulin_day_56|Glucose_day_56|Glucagon_day_56,9,7874,1.0432971745869946
Insulin_day_79,Insulin_day_79,1,7874,0.40239601866540653
Insulin_day_56,Insulin_day_56,1,7874,0.40239601866540653
Insulin_day_70,Insulin_day_70,1,7874,0.40239601866540653
Insulin_day_71,Insulin_day_71,1,7874,0.40239601866540653
Insulin_day_78,Insulin_day_78,1,7874,0.40239601866540653
Insulin_day_64,Insulin_day_64,1,7874,0.40239601866540653
Insulin_day_77,Insulin_day_77,1,7874,0.40239601866540653
Insulin_day_61,Insulin_day_61,1,7874,0.40239601866540653
Insulin_day_72,Insulin_day_72,1,7874,0.40239601866540653
Insulin_day_86,Insulin_day_86,1,7874,0.40239601866540653
Insulin_day_73,Insulin_day_73,1,7874,0.40239601866540653
Insulin_day_76,Insulin_day_76,1,7874,0.40239601866540653
Insulin_day_89,Insulin_day_89,1,7874,0.40239601866540653
Insulin_day_62,Insulin_day_62,1,7874,0.40239601866540653
Insulin_day_63,Insulin_day_63,1,7874,0.40239601866540653
Insulin_day_57,Insulin_day_57,1,7874,0.40239601866540653
Insulin_day_75,Insulin_day_75,1,7874,0.40239601866540653
Insulin_day_87,Insulin_day_87,1,7874,0.40239601866540653
Insulin_day_60,Insulin_day_60,1,7874,0.40239601866540653
Insulin_day_85,Insulin_day_85,1,7874,0.40239601866540653
Insulin_day_82,Insulin_day_82,1,7874,0.40239601866540653
Insulin_day_59,Insulin_day_59,1,7874,0.40239601866540653
Insulin_day_66,Insulin_day_66,1,7874,0.40239601866540653
Insulin_day_67,Insulin_day_67,1,7874,0.40239601866540653
Insulin_day_58,Insulin_day_58,1,7874,0.40239601866540653
