candidate,n_samples,mi_mean_nats,mi_sd_nats,n_repeats
all_species_day_55,500,0.6459028884721978,0.015276058190607279,20
all_species_day_55,1000,0.7606546650997471,0.008725694695211554,20
all_species_day_55,2000,0.8641575279059831,0.005484363992095047,20
all_species_day_55,4000,0.9710683997800306,0.005296582053669997,20
all_species_day_55,6000,1.0285006103225887,0.0029453261324257117,20
all_species_day_55,7874,1.0652597061583315,8.881784197001252e-16,20
FSH_day_55,500,0.16878493412135237,0.024649274738888317,20
FSH_day_55,1000,0.16711678335638372,0.015031477013141224,20
FSH_day_55,2000,0.16712735783928698,0.014090548142316833,20
FSH_day_55,4000,0.16747435774294006,0.010672114348487994,20
FSH_day_55,6000,0.16294292174464112,0.0065179903433964965,20
FSH_day_55,7874,0.16474749148354215,3.9724629357497496e-16,20
PGF_day_55,500,0.011899816455017077,0.013404450010253558,20
PGF_day_55,1000,0.009265945267551423,0.010618164709412431,20
PGF_day_55,2000,0.01009585580302117,0.012209977947630896,20
PGF_day_55,4000,0.005644958141819511,0.006871438819976632,20
PGF_day_55,6000,0.004041165515348766,0.0038539388833604598,20
PGF_day_55,7874,0.002472767959236677,0.0,20
P4_day_55,500,0.26979888316406486,0.03582337271258344,20
P4_day_55,1000,0.28266575515782916,0.025054489757798035,20
P4_day_55,2000,0.2738070660922111,0.01318644372844756,20
P4_day_55,4000,0.2748181112288316,0.009728451566887873,20
P4_day_55,6000,0.2715495653756368,0.007384786049414131,20
P4_day_55,7874,0.27105666641405046,7.293573360065267e-16,20
E2_day_55,500,0.1999044815547013,0.030282871300344013,20
E2_day_55,1000,0.19646183336927442,0.02133272975923854,20
E2_day_55,2000,0.19073155827122878,0.013685464727464257,20
E2_day_55,4000,0.19240435025891572,0.011953423727523317,20
E2_day_55,6000,0.19172794689086495,0.006781446448386916,20
E2_day_55,7874,0.19197099662065337,1.0430375909640913e-15,20
INH_day_55,500,0.1613904752430512,0.024388836237063477,20
INH_day_55,1000,0.1546009790213793,0.01614873832250056,20
INH_day_55,2000,0.14977924428205255,0.019271435063246065,20
INH_day_55,4000,0.15557595505903307,0.008047146146839393,20
INH_day_55,6000,0.15784632110274047,0.005163159656045861,20
INH_day_55,7874,0.15998827565531543,6.508636539076828e-16,20
IGF1_day_55,500,0.008876766581982531,0.013121788898404076,20
IGF1_day_55,1000,0.015341244574679091,0.01564733259997366,20
IGF1_day_55,2000,0.013132416727798812,0.012144792293301388,20
IGF1_day_55,4000,0.008717632452856172,0.007021623503070014,20
IGF1_day_55,6000,0.005836192243069416,0.003941887549907214,20
IGF1_day_55,7874,0.0015766517452084016,8.351761036539184e-16,20
Insulin_day_55,500,0.3996954671926293,0.0413975584180003,20
Insulin_day_55,1000,0.40413661412461843,0.03031051536659036,20
Insulin_day_55,2000,0.4005589545569294,0.01409722934059473,20
Insulin_day_55,4000,0.4088848904634008,0.007282096671059034,20
Insulin_day_55,6000,0.40691825967275363,0.008510751765583012,20
Insulin_day_55,7874,0.40239601866540625,6.508636539076828e-16,20
Glucose_day_55,500,0.2834702725825802,0.022354335654609633,20
Glucose_day_55,1000,0.2773058137897425,0.028723197376346325,20
Glucose_day_55,2000,0.2845366474875786,0.012339006733306504,20
Glucose_day_55,4000,0.2862704845657105,0.011543193411426393,20
Glucose_day_55,6000,0.2885985046514685,0.006091776986904033,20
Glucose_day_55,7874,0.2871002439213547,3.978582266107461e-16,20
Glucagon_day_55,500,0.01940299317264458,0.018024103825302142,20
Glucagon_day_55,1000,0.017838590953137334,0.019195124350455884,20
Glucagon_day_55,2000,0.017743522598161386,0.010163946625862088,20
Glucagon_day_55,4000,0.018317595160385648,0.008118137336336621,20
Glucagon_day_55,6000,0.020398875066233745,0.005309487951174931,20
Glucagon_day_55,7874,0.020388761599121265,1.0743510081058487e-15,20
all_species_day_56,500,0.6201689680590979,0.012912953849062297,20
all_species_day_56,1000,0.7311654009017069,0.009845209068879654,20
all_species_day_56,2000,0.8435883611672317,0.00812600396621442,20
all_species_day_56,4000,0.9454478842488674,0.003669270476765509,20
all_species_day_56,6000,1.0035714988112239,0.0023464314804548755,20
all_species_day_56,7874,1.0432971745869937,9.112518314015307e-16,20
FSH_day_56,500,0.17491521754078443,0.03126246865509254,20
FSH_day_56,1000,0.18666191914466773,0.018996173295070168,20
FSH_day_56,2000,0.1783947013055136,0.011282491749108203,20
FSH_day_56,4000,0.18154624764613142,0.009661719100584824,20
FSH_day_56,6000,0.18640838730782763,0.005020819525989751,20
FSH_day_56,7874,0.1886701506488456,9.067020116582793e-16,20
PGF_day_56,500,0.010562881791289858,0.015420926159827895,20
PGF_day_56,1000,0.016854787190872144,0.016057377326328868,20
PGF_day_56,2000,0.009702695312479914,0.01111554071337477,20
PGF_day_56,4000,0.00664526223990416,0.006447104010139766,20
PGF_day_56,6000,0.004607525076337282,0.004252336262486759,20
PGF_day_56,7874,0.006201524321189744,5.467511278088334e-16,20
P4_day_56,500,0.2712660786067101,0.034305939373244866,20
P4_day_56,1000,0.2590889845864556,0.020983245313962475,20
P4_day_56,2000,0.27520642146915925,0.015922569338701908,20
P4_day_56,4000,0.2826992226346194,0.011604639066440289,20
P4_day_56,6000,0.273366686061574,0.006698481170752832,20
P4_day_56,7874,0.2744445526111736,0.0,20
E2_day_56,500,0.09165333771840083,0.0291831204961134,20
E2_day_56,1000,0.09701297196305285,0.02274860332866572,20
E2_day_56,2000,0.10292747036885874,0.01046717429768513,20
E2_day_56,4000,0.10210506138860236,0.008196953843623804,20
E2_day_56,6000,0.10618872236005812,0.006020481392360441,20
E2_day_56,7874,0.11080942684852157,1.0782077074134192e-15,20
INH_day_56,500,0.14823021780296042,0.03386658489715537,20
INH_day_56,1000,0.14541659868407458,0.025669040466839748,20
INH_day_56,2000,0.15177973956696258,0.015349582149999081,20
INH_day_56,4000,0.14390030101500767,0.010503351841065258,20
INH_day_56,6000,0.1450798490829956,0.005529980049412463,20
INH_day_56,7874,0.1436410712609999,9.77208721444677e-16,20
IGF1_day_56,500,0.010381589399258439,0.015824016563984977,20
IGF1_day_56,1000,0.0117164792492634,0.013840509159866812,20
IGF1_day_56,2000,0.008197044652250707,0.008993575264111054,20
IGF1_day_56,4000,0.008223380590638563,0.00803675295789343,20
IGF1_day_56,6000,0.007336021673579207,0.0043554119633664335,20
IGF1_day_56,7874,0.005875407539453636,8.692788625568813e-16,20
Insulin_day_56,500,0.3875238385243836,0.02906435634658311,20
Insulin_day_56,1000,0.40405211411536823,0.025794406012813895,20
Insulin_day_56,2000,0.406792477590017,0.021682624784161567,20
