biomarker,first_day,last_day,maximum_interval_width,mean_interval_width,samples
E2,55,90,0.5429406291086922,0.09200057070500996,7874
FSH,55,90,0.6014307138319355,0.23225152955037112,7874
Glucose,55,90,0.0029464574223679874,0.0029464574223670437,7874
IGF1,55,90,0.12710727853084774,0.02142582474813725,7874
INH,55,90,0.48906605658691993,0.08895989249348751,7874
Insulin,55,90,0.6669315926346524,0.6669315926317356,7874
P4,55,90,0.5468346149737133,0.07992101882315225,7874
PGF,55,90,1.2348884404146636,0.11143176216990221,7874
