biomarker,parameter,prcc,abs_prcc,samples,identifiability_class,spearman_rho,abs_spearman_rho
FSH,gnrh_clearance,-0.01869570303470925,0.01869570303470925,7874,Boundary-limited,0.002132248135278268,0.002132248135278268
FSH,lh_basal_release,0.00010134573458495115,0.00010134573458495115,7874,Weak/flat,-0.014914753877290108,0.014914753877290108
FSH,hp_p4_follicle_scale,0.8062259936379371,0.8062259936379371,7874,Practically identifiable,0.293744450244527,0.293744450244527
FSH,hp_iof_threshold,0.00013133944585233035,0.00013133944585233035,7874,Boundary-limited,0.001884886357713417,0.001884886357713417
FSH,inhibin_clearance,0.5961376951313253,0.5961376951313253,7874,Practically identifiable,0.02893424511977099,0.02893424511977099
FSH,insulin_igf_threshold,-0.0050636899455308,0.0050636899455308,7874,Weak/flat,0.0219075683558878,0.0219075683558878
FSH,feed_direct_blood_fraction,0.035842510327781546,0.035842510327781546,7874,Weak/flat,-0.0027667653551271248,0.0027667653551271248
FSH,blood_to_liver_glucose_threshold,0.4277218919085063,0.4277218919085063,7874,Boundary-limited,0.05258292612834613,0.05258292612834613
FSH,insulin_glucose_threshold,-0.8983028363825328,0.8983028363825328,7874,Practically identifiable,-0.3920953414787743,0.3920953414787743
PGF,gnrh_clearance,0.02337922569483878,0.02337922569483878,7874,Boundary-limited,0.014540420906309201,0.014540420906309201
PGF,lh_basal_release,-0.006647888017802561,0.006647888017802561,7874,Weak/flat,-0.0064660255765927755,0.0064660255765927755
PGF,hp_p4_follicle_scale,-0.27955011510346384,0.27955011510346384,7874,Practically identifiable,-0.22198012900346173,0.22198012900346173
PGF,hp_iof_threshold,0.026477735694274196,0.026477735694274196,7874,Boundary-limited,0.024335883968048776,0.024335883968048776
PGF,inhibin_clearance,-0.28956838665723134,0.28956838665723134,7874,Practically identifiable,-0.19269253766915656,0.19269253766915656
PGF,insulin_igf_threshold,0.020053881751935673,0.020053881751935673,7874,Weak/flat,0.010176317783396515,0.010176317783396515
PGF,feed_direct_blood_fraction,-0.002894456441791497,0.002894456441791497,7874,Weak/flat,0.0020226404843705637,0.0020226404843705637
PGF,blood_to_liver_glucose_threshold,-0.06285411509705825,0.06285411509705825,7874,Boundary-limited,-0.020558170123761633,0.020558170123761633
PGF,insulin_glucose_threshold,0.25614483523423753,0.25614483523423753,7874,Practically identifiable,0.12270768589363083,0.12270768589363083
P4,gnrh_clearance,0.05914323016018219,0.05914323016018219,7874,Boundary-limited,0.0180658922451073,0.0180658922451073
